recommendation_id,building_id,recommended_action,estimated_retrofit_cost,estimated_annual_savings,payback_period_years,estimated_emissions_reduction_percent,retrofit_priority,implementation_complexity
REC_0044,BLDG_25850,LED Lighting Retrofit,20700.0,8500.0,2.44,8.04,Critical,Low
REC_0045,BLDG_20741,Water Efficiency Upgrade,11300.0,5200.0,2.17,2.33,Critical,Low
REC_0046,BLDG_23228,Building Automation System,24900.0,73600.0,0.34,14.66,Critical,Medium
REC_0047,BLDG_21921,Solar Panel Installation,69000.0,3200.0,21.56,27.47,Low,Medium
REC_0048,BLDG_858,Solar Panel Installation,453000.0,31000.0,14.61,21.99,Low,Medium
REC_0049,BLDG_21941,Solar Panel Installation,377400.0,25500.0,14.8,24.65,Low,Medium
REC_0050,BLDG_21125,Solar Panel Installation,70000.0,3300.0,21.21,24.07,Low,Medium
REC_0051,BLDG_26862,Solar Panel Installation,65000.0,2900.0,22.41,16.63,Low,Medium
REC_0052,BLDG_19477,HVAC Upgrade,78900.0,5900.0,13.37,25.43,Low,Medium
REC_0053,BLDG_467,LED Lighting Retrofit,49000.0,87100.0,0.56,11.01,Critical,Low
REC_0054,BLDG_50490,LED Lighting Retrofit,19300.0,13300.0,1.45,10.66,Critical,Low
REC_0055,BLDG_22866,Solar Panel Installation,79000.0,3900.0,20.26,15.97,Low,Medium
REC_0056,BLDG_27343,Solar Panel Installation,81600.0,4100.0,19.9,16.21,Low,Medium
REC_0057,BLDG_21898,HVAC Upgrade,60400.0,13200.0,4.58,24.41,High,Medium
REC_0058,BLDG_23306,Water Efficiency Upgrade,13200.0,7200.0,1.83,2.62,Critical,Low
REC_0059,BLDG_19799,Building Automation System,16100.0,4900.0,3.29,14.45,Critical,Medium
REC_0060,BLDG_21951,Deep Energy Retrofit,1300700.0,189200.0,6.87,41.95,High,High
REC_0061,BLDG_23102,LED Lighting Retrofit,38100.0,44000.0,0.87,11.25,Critical,Low
REC_0062,BLDG_23466,Solar Panel Installation,198200.0,12600.0,15.73,23.93,Low,Medium
REC_0063,BLDG_25526,Water Efficiency Upgrade,11800.0,6200.0,1.9,4.82,Critical,Low
REC_0064,BLDG_50489,Solar Panel Installation,65000.0,2900.0,22.41,27.81,Low,Medium
REC_0065,BLDG_26846,Solar Panel Installation,205000.0,13000.0,15.77,16.06,Low,Medium
REC_0066,BLDG_376,Solar Panel Installation,408200.0,27800.0,14.68,25.56,Low,Medium
REC_0067,BLDG_24376,Water Efficiency Upgrade,10900.0,2400.0,4.54,2.42,High,Low
REC_0068,BLDG_50016,Building Automation System,155400.0,63700.0,2.44,11.18,Critical,Medium
REC_0069,BLDG_457,Deep Energy Retrofit,495500.0,216600.0,2.29,44.88,Critical,High
REC_0070,BLDG_25849,Building Automation System,16400.0,3900.0,4.21,15.39,High,Medium
REC_0071,BLDG_20503,Solar Panel Installation,77000.0,3800.0,20.26,26.42,Low,Medium
REC_0072,BLDG_21917,Building Automation System,22400.0,13400.0,1.67,12.16,Critical,Medium
REC_0073,BLDG_27590,Water Efficiency Upgrade,7700.0,3000.0,2.57,4.79,Critical,Low
REC_0074,BLDG_23172,Water Efficiency Upgrade,15900.0,9500.0,1.67,2.69,Critical,Low
REC_0075,BLDG_23574,Window Replacement,113400.0,11000.0,10.31,11.83,Medium,Medium
REC_0076,BLDG_24448,HVAC Upgrade,67200.0,8600.0,7.81,25.55,High,Medium
REC_0077,BLDG_26354,LED Lighting Retrofit,8600.0,3500.0,2.46,8.17,Critical,Low
REC_0078,BLDG_19673,LED Lighting Retrofit,32600.0,29300.0,1.11,11.98,Critical,Low
REC_0079,BLDG_26100,Building Automation System,31300.0,10300.0,3.04,13.58,Critical,Medium
REC_0080,BLDG_20493,Solar Panel Installation,115200.0,6500.0,17.72,27.8,Low,Medium
REC_0081,BLDG_25062,Solar Panel Installation,233800.0,15100.0,15.48,17.72,Low,Medium
REC_0082,BLDG_21555,Solar Panel Installation,65000.0,2900.0,22.41,25.87,Low,Medium
REC_0083,BLDG_23571,Water Efficiency Upgrade,10500.0,5400.0,1.94,3.41,Critical,Low
REC_0084,BLDG_27868,Solar Panel Installation,65000.0,2900.0,22.41,17.58,Low,Medium
REC_0085,BLDG_26319,LED Lighting Retrofit,17800.0,16400.0,1.09,11.43,Critical,Low
REC_0086,BLDG_23590,Water Efficiency Upgrade,10000.0,5100.0,1.96,3.06,Critical,Low
REC_0087,BLDG_491,LED Lighting Retrofit,27400.0,18100.0,1.51,11.87,Critical,Low
REC_0088,BLDG_20163,Solar Panel Installation,525000.0,36200.0,14.5,27.23,Low,Medium
REC_0089,BLDG_19862,LED Lighting Retrofit,20900.0,7800.0,2.68,10.7,Critical,Low
REC_0090,BLDG_26150,LED Lighting Retrofit,14200.0,11100.0,1.28,11.27,Critical,Low
REC_0091,BLDG_26695,LED Lighting Retrofit,10700.0,3800.0,2.82,8.69,Critical,Low
REC_0092,BLDG_492,LED Lighting Retrofit,27400.0,1600.0,17.12,10.51,Low,Low
REC_0093,BLDG_27232,LED Lighting Retrofit,8700.0,1500.0,5.8,9.12,High,Low
REC_0094,BLDG_760,LED Lighting Retrofit,40200.0,16200.0,2.48,8.81,Critical,Low
REC_0095,BLDG_49988,Water Efficiency Upgrade,23400.0,12100.0,1.93,2.18,Critical,Low
REC_0096,BLDG_243,LED Lighting Retrofit,43200.0,28900.0,1.49,11.15,Critical,Low
REC_0097,BLDG_24858,LED Lighting Retrofit,16100.0,5600.0,2.88,10.93,Critical,Low
REC_0098,BLDG_22517,Water Efficiency Upgrade,9800.0,4800.0,2.04,2.96,Critical,Low
REC_0099,BLDG_850,Water Efficiency Upgrade,14000.0,3000.0,4.67,4.12,High,Low
REC_0100,BLDG_27561,Solar Panel Installation,65000.0,2900.0,22.41,24.8,Low,Medium
REC_0101,BLDG_46,HVAC Upgrade,1050400.0,368400.0,2.85,24.41,Critical,Medium
REC_0102,BLDG_35391,HVAC Upgrade,64300.0,26700.0,2.41,22.76,Critical,Medium
REC_0103,BLDG_50001,LED Lighting Retrofit,36300.0,23800.0,1.53,9.62,Critical,Low
REC_0104,BLDG_21486,Water Efficiency Upgrade,13300.0,7200.0,1.85,3.9,Critical,Low
REC_0105,BLDG_26351,Solar Panel Installation,65000.0,2900.0,22.41,15.34,Low,Medium
REC_0106,BLDG_49939,Deep Energy Retrofit,194100.0,19700.0,9.85,43.53,Medium,High
REC_0107,BLDG_23308,Solar Panel Installation,65000.0,2900.0,22.41,19.02,Low,Medium
REC_0108,BLDG_50178,HVAC Upgrade,79100.0,4700.0,16.83,23.74,Low,Medium
REC_0109,BLDG_409,Building Automation System,47400.0,27400.0,1.73,13.02,Critical,Medium
REC_0110,BLDG_50955,Water Efficiency Upgrade,27800.0,19500.0,1.43,4.24,Critical,Low
REC_0111,BLDG_50170,Solar Panel Installation,84600.0,4300.0,19.67,18.24,Low,Medium
REC_0112,BLDG_23404,Solar Panel Installation,65000.0,2900.0,22.41,21.88,Low,Medium
REC_0113,BLDG_23890,HVAC Upgrade,134000.0,19200.0,6.98,24.6,High,Medium
REC_0114,BLDG_559,Solar Panel Installation,269800.0,17700.0,15.24,18.73,Low,Medium
REC_0115,BLDG_19930,Water Efficiency Upgrade,10100.0,4300.0,2.35,4.88,Critical,Low
REC_0116,BLDG_532,Solar Panel Installation,146800.0,8800.0,16.68,25.26,Low,Medium
REC_0117,BLDG_383,Solar Panel Installation,430800.0,29400.0,14.65,20.2,Low,Medium
REC_0118,BLDG_752,Solar Panel Installation,250400.0,16300.0,15.36,23.65,Low,Medium
REC_0119,BLDG_22753,LED Lighting Retrofit,19200.0,8000.0,2.4,9.04,Critical,Low
REC_0120,BLDG_529,LED Lighting Retrofit,29300.0,26000.0,1.13,10.81,Critical,Low
REC_0121,BLDG_19854,Solar Panel Installation,112400.0,6300.0,17.84,22.57,Low,Medium
REC_0122,BLDG_25110,LED Lighting Retrofit,11500.0,5200.0,2.21,10.92,Critical,Low
REC_0123,BLDG_22830,Solar Panel Installation,65000.0,2900.0,22.41,18.03,Low,Medium
REC_0124,BLDG_19885,Solar Panel Installation,281200.0,18600.0,15.12,21.53,Low,Medium
REC_0125,BLDG_25599,LED Lighting Retrofit,11200.0,4200.0,2.67,11.44,Critical,Low
REC_0126,BLDG_547,Solar Panel Installation,104600.0,5800.0,18.03,15.39,Low,Medium
REC_0127,BLDG_27008,LED Lighting Retrofit,18400.0,18200.0,1.01,9.47,Critical,Low
REC_0128,BLDG_21319,Building Automation System,21500.0,6700.0,3.21,14.57,Critical,Medium
REC_0129,BLDG_19448,Solar Panel Installation,65000.0,2900.0,22.41,27.47,Low,Medium
REC_0130,BLDG_19830,Water Efficiency Upgrade,17100.0,9000.0,1.9,2.27,Critical,Low
REC_0131,BLDG_26391,Solar Panel Installation,65000.0,2900.0,22.41,25.47,Low,Medium
REC_0132,BLDG_24030,Water Efficiency Upgrade,13900.0,2500.0,5.56,3.86,High,Low
REC_0133,BLDG_50501,Solar Panel Installation,136200.0,8100.0,16.81,22.91,Low,Medium
REC_0134,BLDG_50476,LED Lighting Retrofit,68800.0,19200.0,3.58,9.4,Critical,Low
REC_0135,BLDG_25218,Building Automation System,20000.0,5300.0,3.77,10.44,Critical,Medium
REC_0136,BLDG_49947,Solar Panel Installation,448800.0,30700.0,14.62,15.72,Low,Medium
REC_0137,BLDG_25,Insulation Improvement,81000.0,34200.0,2.37,12.35,Critical,Medium
REC_0138,BLDG_26188,Solar Panel Installation,254200.0,16600.0,15.31,19.2,Low,Medium
REC_0139,BLDG_337,Water Efficiency Upgrade,90600.0,27400.0,3.31,2.08,Critical,Low
REC_0140,BLDG_21357,Water Efficiency Upgrade,9900.0,4200.0,2.36,2.94,Critical,Low
REC_0141,BLDG_19535,Water Efficiency Upgrade,10800.0,5800.0,1.86,3.65,Critical,Low
REC_0142,BLDG_87,Solar Panel Installation,130200.0,7600.0,17.13,24.65,Low,Medium
REC_0143,BLDG_20153,LED Lighting Retrofit,14700.0,6400.0,2.3,8.5,Critical,Low
REC_0144,BLDG_837,Water Efficiency Upgrade,19700.0,7900.0,2.49,2.71,Critical,Low
REC_0145,BLDG_21671,LED Lighting Retrofit,23400.0,3900.0,6.0,8.16,High,Low
REC_0146,BLDG_20880,Solar Panel Installation,72400.0,3400.0,21.29,27.07,Low,Medium
REC_0147,BLDG_26129,Water Efficiency Upgrade,7700.0,2800.0,2.75,4.23,Critical,Low
REC_0148,BLDG_652,LED Lighting Retrofit,41700.0,28800.0,1.45,10.25,Critical,Low
REC_0149,BLDG_23075,Water Efficiency Upgrade,8300.0,3400.0,2.44,4.59,Critical,Low
REC_0150,BLDG_50543,LED Lighting Retrofit,24900.0,32800.0,0.76,9.08,Critical,Low
REC_0151,BLDG_49921,LED Lighting Retrofit,59500.0,31600.0,1.88,11.44,Critical,Low
REC_0152,BLDG_20444,Building Automation System,19300.0,3900.0,4.95,10.16,High,Medium
REC_0153,BLDG_24624,LED Lighting Retrofit,14600.0,21300.0,0.69,9.57,Critical,Low
REC_0154,BLDG_26118,Building Automation System,50100.0,14000.0,3.58,14.05,Critical,Medium
REC_0155,BLDG_27100,HVAC Upgrade,676000.0,455800.0,1.48,23.79,Critical,Medium
REC_0156,BLDG_578,Water Efficiency Upgrade,14600.0,4600.0,3.17,3.07,Critical,Low
REC_0157,BLDG_50460,Solar Panel Installation,525000.0,36200.0,14.5,20.84,Low,Medium
REC_0158,BLDG_627,Building Automation System,29600.0,11300.0,2.62,10.19,Critical,Medium
REC_0159,BLDG_22650,LED Lighting Retrofit,14900.0,2200.0,6.77,9.56,High,Low
REC_0160,BLDG_50017,Water Efficiency Upgrade,16600.0,8800.0,1.89,2.92,Critical,Low
REC_0161,BLDG_633,LED Lighting Retrofit,60300.0,31500.0,1.91,9.93,Critical,Low
REC_0162,BLDG_20390,Solar Panel Installation,268400.0,17600.0,15.25,26.25,Low,Medium
REC_0163,BLDG_20898,Building Automation System,19900.0,3500.0,5.69,15.54,High,Medium
REC_0164,BLDG_20496,Solar Panel Installation,122600.0,7100.0,17.27,27.46,Low,Medium
REC_0165,BLDG_23006,Water Efficiency Upgrade,8400.0,3400.0,2.47,2.11,Critical,Low
REC_0166,BLDG_23637,Building Automation System,16600.0,8600.0,1.93,11.32,Critical,Medium
REC_0167,BLDG_21098,Solar Panel Installation,211200.0,13500.0,15.64,16.34,Low,Medium
REC_0168,BLDG_27277,LED Lighting Retrofit,11800.0,2900.0,4.07,8.81,High,Low
REC_0169,BLDG_22676,HVAC Upgrade,49100.0,12800.0,3.84,21.88,Critical,Medium
REC_0170,BLDG_23323,LED Lighting Retrofit,27300.0,7900.0,3.46,10.59,Critical,Low
REC_0171,BLDG_21178,Insulation Improvement,27600.0,4700.0,5.87,15.25,Critical,Medium
REC_0172,BLDG_447,Water Efficiency Upgrade,23100.0,8400.0,2.75,4.87,Critical,Low
REC_0173,BLDG_116,Building Automation System,53500.0,28500.0,1.88,12.27,Critical,Medium
REC_0174,BLDG_23311,Solar Panel Installation,525000.0,36200.0,14.5,23.84,Low,Medium
REC_0175,BLDG_22524,Deep Energy Retrofit,155400.0,34900.0,4.45,42.45,Critical,High
REC_0176,BLDG_115,Insulation Improvement,61300.0,14200.0,4.32,15.24,High,Medium
REC_0177,BLDG_20976,Deep Energy Retrofit,153700.0,27000.0,5.69,35.21,Critical,High
REC_0178,BLDG_19472,Water Efficiency Upgrade,12000.0,2700.0,4.44,2.25,High,Low
REC_0179,BLDG_138,Solar Panel Installation,352400.0,23700.0,14.87,26.53,Low,Medium
REC_0180,BLDG_24289,Water Efficiency Upgrade,8700.0,3200.0,2.72,4.58,Critical,Low
REC_0181,BLDG_19621,HVAC Upgrade,56300.0,14400.0,3.91,24.08,Critical,Medium
REC_0182,BLDG_597,Solar Panel Installation,413200.0,28100.0,14.7,19.73,Low,Medium
REC_0183,BLDG_50328,Solar Panel Installation,80400.0,4000.0,20.1,21.01,Low,Medium
REC_0184,BLDG_24712,Solar Panel Installation,73000.0,3500.0,20.86,21.14,Low,Medium
REC_0185,BLDG_26154,Window Replacement,59100.0,3400.0,17.38,12.18,Low,Medium
REC_0186,BLDG_24515,Solar Panel Installation,97400.0,5200.0,18.73,22.97,Low,Medium
REC_0187,BLDG_49712,Solar Panel Installation,295000.0,19600.0,15.05,23.53,Low,Medium
REC_0188,BLDG_20480,LED Lighting Retrofit,27200.0,23300.0,1.17,11.07,Critical,Low
REC_0189,BLDG_385,Solar Panel Installation,326400.0,21900.0,14.9,26.99,Low,Medium
REC_0190,BLDG_19661,Solar Panel Installation,211800.0,13500.0,15.69,21.45,Low,Medium
REC_0191,BLDG_292,Insulation Improvement,72700.0,21500.0,3.38,16.66,Critical,Medium
REC_0192,BLDG_21495,Window Replacement,78900.0,9200.0,8.58,9.61,High,Medium
REC_0193,BLDG_50946,Water Efficiency Upgrade,81000.0,57000.0,1.42,2.24,Critical,Low
REC_0194,BLDG_24255,LED Lighting Retrofit,8800.0,3500.0,2.51,10.0,Critical,Low
REC_0195,BLDG_19576,HVAC Upgrade,58500.0,24900.0,2.35,21.53,Critical,Medium
REC_0196,BLDG_168,Solar Panel Installation,241200.0,15700.0,15.36,20.36,Low,Medium
REC_0197,BLDG_20917,HVAC Upgrade,56800.0,26900.0,2.11,22.5,Critical,Medium
REC_0198,BLDG_24391,Building Automation System,33500.0,12900.0,2.6,11.73,Critical,Medium
REC_0199,BLDG_23752,Building Automation System,17500.0,2300.0,7.61,13.3,Medium,Medium
REC_0200,BLDG_27235,Solar Panel Installation,65000.0,2900.0,22.41,20.05,Low,Medium
REC_0201,BLDG_27203,LED Lighting Retrofit,14000.0,8300.0,1.69,9.61,Critical,Low
REC_0202,BLDG_389,Solar Panel Installation,525000.0,36200.0,14.5,18.78,Low,Medium
REC_0203,BLDG_26423,LED Lighting Retrofit,10200.0,5200.0,1.96,9.27,Critical,Low
REC_0204,BLDG_21469,Solar Panel Installation,88600.0,4600.0,19.26,24.54,Low,Medium
REC_0205,BLDG_23292,Deep Energy Retrofit,1457700.0,235700.0,6.18,43.75,High,High
REC_0206,BLDG_26147,Water Efficiency Upgrade,8900.0,3600.0,2.47,4.99,Critical,Low
REC_0207,BLDG_24657,Building Automation System,22300.0,10900.0,2.05,14.22,Critical,Medium
REC_0208,BLDG_35436,Solar Panel Installation,71000.0,3300.0,21.52,21.9,Low,Medium
REC_0209,BLDG_23187,Water Efficiency Upgrade,23800.0,14600.0,1.63,3.53,Critical,Low
REC_0210,BLDG_25047,LED Lighting Retrofit,13200.0,5800.0,2.28,8.23,Critical,Low
REC_0211,BLDG_23504,Deep Energy Retrofit,233500.0,29900.0,7.81,47.7,High,High
REC_0212,BLDG_611,Building Automation System,34600.0,9500.0,3.64,15.62,Critical,Medium
REC_0213,BLDG_19922,Window Replacement,141900.0,13600.0,10.43,11.87,Medium,Medium
REC_0214,BLDG_26574,HVAC Upgrade,151900.0,37000.0,4.11,24.39,Critical,Medium
REC_0215,BLDG_28067,Solar Panel Installation,82000.0,4100.0,20.0,20.41,Low,Medium
REC_0216,BLDG_27204,LED Lighting Retrofit,19100.0,3200.0,5.97,9.45,High,Low
REC_0217,BLDG_50903,Solar Panel Installation,89800.0,4700.0,19.11,15.92,Low,Medium
REC_0218,BLDG_24033,Solar Panel Installation,65000.0,2900.0,22.41,19.1,Low,Medium
REC_0219,BLDG_720,Deep Energy Retrofit,689500.0,175400.0,3.93,40.12,Critical,High
REC_0220,BLDG_27381,HVAC Upgrade,53200.0,5000.0,10.64,23.39,Medium,Medium
REC_0221,BLDG_50076,Solar Panel Installation,336600.0,22600.0,14.89,24.76,Low,Medium
REC_0222,BLDG_784,LED Lighting Retrofit,23500.0,13600.0,1.73,11.55,Critical,Low
REC_0223,BLDG_524,Solar Panel Installation,349400.0,23500.0,14.87,16.16,Low,Medium
REC_0224,BLDG_21741,Water Efficiency Upgrade,134300.0,63200.0,2.12,3.47,Critical,Low
REC_0225,BLDG_27245,HVAC Upgrade,50800.0,8200.0,6.2,24.14,High,Medium
REC_0226,BLDG_637,HVAC Upgrade,429700.0,134700.0,3.19,20.62,Critical,Medium
REC_0227,BLDG_50662,Building Automation System,23700.0,8900.0,2.66,12.47,Critical,Medium
REC_0228,BLDG_49739,Water Efficiency Upgrade,11500.0,5800.0,1.98,2.41,Critical,Low
REC_0229,BLDG_23449,Window Replacement,88100.0,10900.0,8.08,12.65,High,Medium
REC_0230,BLDG_453,Water Efficiency Upgrade,21200.0,6200.0,3.42,4.62,Critical,Low
REC_0231,BLDG_50722,Solar Panel Installation,87600.0,4500.0,19.47,23.14,Low,Medium
REC_0232,BLDG_24418,Water Efficiency Upgrade,8600.0,1500.0,5.73,2.11,High,Low
REC_0233,BLDG_25466,HVAC Upgrade,65800.0,15200.0,4.33,25.98,Critical,Medium
REC_0234,BLDG_23268,LED Lighting Retrofit,20000.0,19800.0,1.01,11.23,Critical,Low
REC_0235,BLDG_50257,Solar Panel Installation,262600.0,17200.0,15.27,23.25,Low,Medium
REC_0236,BLDG_179,HVAC Upgrade,94400.0,32500.0,2.9,19.79,Critical,Medium
REC_0237,BLDG_21532,Solar Panel Installation,486200.0,33400.0,14.56,24.0,Low,Medium
REC_0238,BLDG_28734,LED Lighting Retrofit,36700.0,9300.0,3.95,10.15,Critical,Low
REC_0239,BLDG_50717,LED Lighting Retrofit,57500.0,39000.0,1.47,9.42,Critical,Low
REC_0240,BLDG_343,Solar Panel Installation,525000.0,36200.0,14.5,20.2,Low,Medium
REC_0241,BLDG_425,Solar Panel Installation,179400.0,11200.0,16.02,15.41,Low,Medium
REC_0242,BLDG_19740,Water Efficiency Upgrade,11000.0,5500.0,2.0,4.04,Critical,Low
REC_0243,BLDG_27681,Solar Panel Installation,65000.0,2900.0,22.41,19.1,Low,Medium
REC_0244,BLDG_95,HVAC Upgrade,126100.0,56600.0,2.23,24.42,Critical,Medium
REC_0245,BLDG_27016,Building Automation System,21300.0,8800.0,2.42,11.88,Critical,Medium
REC_0246,BLDG_19464,Solar Panel Installation,228600.0,14800.0,15.45,26.2,Low,Medium
REC_0247,BLDG_23948,HVAC Upgrade,70400.0,33900.0,2.08,23.73,Critical,Medium
REC_0248,BLDG_50741,Solar Panel Installation,162200.0,9900.0,16.38,25.98,Low,Medium
REC_0249,BLDG_19451,Water Efficiency Upgrade,16000.0,5500.0,2.91,3.52,Critical,Low
REC_0250,BLDG_538,Water Efficiency Upgrade,36700.0,12200.0,3.01,2.65,Critical,Low
REC_0251,BLDG_20141,Solar Panel Installation,88400.0,4600.0,19.22,16.12,Low,Medium
REC_0252,BLDG_20069,LED Lighting Retrofit,9600.0,5100.0,1.88,9.37,Critical,Low
REC_0253,BLDG_599,Insulation Improvement,61400.0,18200.0,3.37,15.16,Critical,Medium
REC_0254,BLDG_354,Building Automation System,377400.0,206700.0,1.83,13.41,Critical,Medium
REC_0255,BLDG_23742,HVAC Upgrade,77400.0,34400.0,2.25,20.64,Critical,Medium
REC_0256,BLDG_49996,Building Automation System,38200.0,15500.0,2.46,11.26,Critical,Medium
REC_0257,BLDG_23680,LED Lighting Retrofit,14800.0,7000.0,2.11,10.31,Critical,Low
REC_0258,BLDG_50071,Solar Panel Installation,80200.0,4000.0,20.05,17.23,Low,Medium
REC_0259,BLDG_49729,Solar Panel Installation,184000.0,11500.0,16.0,16.44,Low,Medium
REC_0260,BLDG_27659,Solar Panel Installation,100200.0,5500.0,18.22,24.74,Low,Medium
REC_0261,BLDG_1,Insulation Improvement,69900.0,27900.0,2.51,17.64,Critical,Medium
REC_0262,BLDG_20391,Water Efficiency Upgrade,24400.0,14800.0,1.65,3.0,Critical,Low
REC_0263,BLDG_20325,Solar Panel Installation,125000.0,7200.0,17.36,25.94,Low,Medium
REC_0264,BLDG_26909,Building Automation System,18600.0,4000.0,4.65,14.93,High,Medium
REC_0265,BLDG_831,Solar Panel Installation,410800.0,28000.0,14.67,22.78,Low,Medium
REC_0266,BLDG_50074,LED Lighting Retrofit,16900.0,3600.0,4.69,9.46,High,Low
REC_0267,BLDG_562,Deep Energy Retrofit,1168800.0,175200.0,6.67,37.61,High,High
REC_0268,BLDG_20264,Solar Panel Installation,65000.0,2900.0,22.41,24.0,Low,Medium
REC_0269,BLDG_443,Solar Panel Installation,392600.0,26700.0,14.7,15.96,Low,Medium
REC_0270,BLDG_49869,Solar Panel Installation,71200.0,3300.0,21.58,16.68,Low,Medium
REC_0271,BLDG_22046,Water Efficiency Upgrade,71300.0,53000.0,1.35,4.17,Critical,Low
REC_0272,BLDG_351,Water Efficiency Upgrade,143800.0,47100.0,3.05,3.51,Critical,Low
REC_0273,BLDG_657,Solar Panel Installation,525000.0,36200.0,14.5,15.46,Low,Medium
REC_0274,BLDG_19899,Solar Panel Installation,525000.0,36200.0,14.5,24.37,Low,Medium
REC_0275,BLDG_26835,HVAC Upgrade,67200.0,10200.0,6.59,24.41,High,Medium
REC_0276,BLDG_49858,Deep Energy Retrofit,210300.0,28700.0,7.33,43.88,High,High
REC_0277,BLDG_21568,Building Automation System,40300.0,20600.0,1.96,11.88,Critical,Medium
REC_0278,BLDG_50329,Water Efficiency Upgrade,22700.0,13500.0,1.68,3.06,Critical,Low
REC_0279,BLDG_20630,Solar Panel Installation,182600.0,11400.0,16.02,18.39,Low,Medium
REC_0280,BLDG_19534,HVAC Upgrade,81500.0,8000.0,10.19,18.51,Medium,Medium
