building_id,building_name,building_type,location_city,climate_zone,year_built,floor_area_sqft,number_of_floors,occupancy_type,average_occupancy_rate,primary_material,facade_type,window_to_wall_ratio,insulation_level,hvac_system_type,lighting_system_type,renewable_energy_flag,solar_panel_capacity_kw,green_roof_flag,leed_certification_level,data_source,building_age,sustainability_score_band,building_performance_risk_score,building_performance_risk_category,lifecycle_cost_estimate,lifecycle_cost_per_sqft
BLDG_22136,COLUMBIA PLACE,Residential,Seattle,4C (Marine),1983,52228.0,4,Residential,0.96,Composite,Window Wall,0.5,Medium,District Heating,LED,False,0.0,False,Certified,Seattle Open Data (2020),41,Moderate,4,Medium Risk,16619800.0,318.22
BLDG_25603,TRIO,Residential,Seattle,4C (Marine),2006,131500.0,6,Residential,0.86,Concrete,Rain Screen,0.4,High,District Heating,Smart LED,True,145.3,False,Platinum,Seattle Open Data (2020),18,High,0,Low Risk,39975500.0,304.0
BLDG_411,JOSHUA GREEN BUILDING,Office,Seattle,4C (Marine),1910,109266.0,10,Office,0.92,Composite,Rain Screen,0.36,Medium,District Heating,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),114,Moderate,4,Medium Risk,41029000.0,375.5
BLDG_21650,THE MARK SPENCER,Residential,Seattle,4C (Marine),1958,28833.0,5,Residential,0.92,Composite,Rain Screen,0.4,High,District Heating,LED,False,0.0,False,Certified,Seattle Open Data (2020),66,Moderate,6,Medium Risk,9610200.0,333.31
BLDG_19808,ARCADIAN COURT CONDOMINIUM,Residential,Seattle,4C (Marine),1980,48744.0,5,Residential,0.84,Composite,Window Wall,0.39,Medium,Heat Pump,LED,False,0.0,False,Certified,Seattle Open Data (2020),44,Moderate,3,Low Risk,14811900.0,303.87
BLDG_20304,THE KENNEDY BUILDING,Residential,Seattle,4C (Marine),2004,169931.0,7,Residential,0.93,Glass-heavy facade,Curtain Wall,0.74,Medium,High Efficiency HVAC,Smart LED,False,0.0,False,Gold,Seattle Open Data (2020),20,High,1,Low Risk,63192000.0,371.87
BLDG_50924,North Star Apartments,Residential,Seattle,4C (Marine),2022,54791.0,6,Residential,0.86,Steel,Masonry,0.44,Medium,Heat Pump,LED,False,0.0,False,None,Seattle Open Data (2020),2,Low,6,Medium Risk,18313900.0,334.25
BLDG_21138,SATURN BUILDING,Office,Seattle,4C (Marine),1947,46958.0,1,Office,0.89,Glass-heavy facade,Curtain Wall,0.78,High,Heat Pump,LED,True,196.1,False,None,Seattle Open Data (2020),77,Moderate,3,Low Risk,19042500.0,405.52
BLDG_19754,HUMPHREY HOUSE APARTMENTS,Residential,Seattle,4C (Marine),2009,40329.0,7,Residential,0.9,Concrete,Rain Screen,0.45,Low,Electric Resistance,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),15,Low,8,High Risk,14718200.0,364.95
BLDG_49798,WALLY APARTMENTS,Residential,Seattle,4C (Marine),2013,28200.0,4,Residential,0.91,Timber,Masonry,0.46,Medium,District Heating,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),11,Low,3,Low Risk,9467400.0,335.72
BLDG_24989,SUTTON PLACE CONDOMINIUM,Residential,Seattle,4C (Marine),1960,101706.0,10,Residential,0.86,Timber,Insulated Panels,0.44,Medium,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),64,Low,8,High Risk,41841800.0,411.4
BLDG_21497,FAIRMOUNT APTS,Residential,Seattle,4C (Marine),1914,39528.0,5,Residential,0.94,Composite,Insulated Panels,0.34,High,High Efficiency HVAC,LED,False,0.0,False,Silver,Seattle Open Data (2020),110,Moderate,2,Low Risk,12216300.0,309.05
BLDG_52012,GRIDLINE (704 E UNION ST),Residential,Seattle,4C (Marine),2023,31253.0,6,Residential,0.83,Glass-heavy facade,Curtain Wall,0.78,High,Heat Pump,Smart LED,False,0.0,False,Gold,Seattle Open Data (2020),1,High,2,Low Risk,12229400.0,391.3
BLDG_26850,EVERGREEN HOTEL BUILDING,Residential,Seattle,4C (Marine),1916,24171.0,3,Residential,0.92,Timber,Masonry,0.39,High,High Efficiency HVAC,LED,False,0.0,True,Gold,Seattle Open Data (2020),108,High,2,Low Risk,8247500.0,341.21
BLDG_29,WATERTOWN HOTEL,Hospitality,Seattle,4C (Marine),2001,88592.0,6,Hospitality,0.89,Steel,Insulated Panels,0.4,High,Heat Pump,Smart LED,True,340.0,False,Platinum,Seattle Open Data (2020),23,High,0,Low Risk,39669500.0,447.78
BLDG_550,PUBLIC STORAGE (STORE 21517),Mixed Use,Seattle,4C (Marine),1986,64660.0,3,Mixed Use,0.91,Steel,Window Wall,0.35,High,Heat Pump,Smart LED,False,0.0,False,Platinum,Seattle Open Data (2020),38,High,1,Low Risk,23592800.0,364.87
BLDG_25763,Villa Andora,Residential,Seattle,4C (Marine),1969,30420.0,3,Residential,0.91,Glass-heavy facade,Curtain Wall,0.82,Low,District Heating,LED,False,0.0,False,Gold,Seattle Open Data (2020),55,Moderate,4,Medium Risk,11514100.0,378.5
BLDG_19572,WALL & CEILING SUPPLY CO,Mixed Use,Seattle,4C (Marine),1981,30375.0,1,Mixed Use,0.86,Brick,Masonry,0.16,Medium,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),43,Moderate,5,Medium Risk,11398100.0,375.25
BLDG_23340,KING ARTHUR'S COURT APARTMENTS,Residential,Seattle,4C (Marine),2000,103554.0,6,Residential,0.91,Timber,Window Wall,0.48,High,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),24,High,1,Low Risk,33770800.0,326.12
BLDG_19753,NEW PACIFIC APARTMENTS,Residential,Seattle,4C (Marine),1903,26640.0,3,Residential,0.9,Glass-heavy facade,Curtain Wall,0.74,High,Standard HVAC,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),121,Moderate,7,High Risk,10137800.0,380.55
BLDG_50190,1701 DEXTER,Residential,Seattle,4C (Marine),2016,60500.0,6,Residential,0.9,Glass-heavy facade,Curtain Wall,0.67,High,High Efficiency HVAC,Smart LED,True,149.3,False,Gold,Seattle Open Data (2020),8,High,1,Low Risk,21323700.0,352.46
BLDG_399,WASH MUTUAL TOWER (1201 THIRD AVE),Office,Seattle,4C (Marine),1988,1413575.0,55,Office,0.89,Glass-heavy facade,Curtain Wall,0.82,High,High Efficiency HVAC,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),36,Moderate,1,Low Risk,597296600.0,422.54
BLDG_19874,TRIANON BUILDING,Office,Seattle,4C (Marine),1926,57620.0,3,Office,0.92,Glass-heavy facade,Curtain Wall,0.67,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),98,Low,7,High Risk,25872500.0,449.02
BLDG_229,MARTIN LUTHER KING JR (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT),Educational,Seattle,4C (Marine),2004,67371.0,2,Educational,0.85,Steel,Rain Screen,0.54,Medium,Electric Resistance,LED,False,0.0,False,Certified,Seattle Open Data (2020),20,Moderate,5,Medium Risk,30112800.0,446.97
BLDG_23567,HAMRICK APTS,Residential,Seattle,4C (Marine),1947,22604.0,3,Residential,0.79,Brick,Masonry,0.17,High,Heat Pump,Smart LED,True,195.9,False,Platinum,Seattle Open Data (2020),77,High,3,Low Risk,7717000.0,341.4
BLDG_22609,OFFICE BLDG,Office,Seattle,4C (Marine),1994,30172.0,4,Office,0.89,Steel,Window Wall,0.49,High,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),30,High,1,Low Risk,10855700.0,359.79
BLDG_23723,DOMAINE,Residential,Seattle,4C (Marine),2006,67796.0,6,Residential,0.9,Timber,Rain Screen,0.49,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),18,Low,10,Critical Risk,24841800.0,366.42
BLDG_678,COLMAN BUILDING,Office,Seattle,4C (Marine),1900,166975.0,6,Office,0.97,Glass-heavy facade,Curtain Wall,0.84,High,District Heating,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),124,Moderate,7,High Risk,88473400.0,529.86
BLDG_331,TOWER BLDG,Office,Seattle,4C (Marine),1930,204790.0,17,Office,0.91,Concrete,Rain Screen,0.31,High,Heat Pump,Smart LED,True,284.0,False,Silver,Seattle Open Data (2020),94,Moderate,4,Medium Risk,97799200.0,477.56
BLDG_63,SHERATON GRAND SEATTLE - (Parent Building),Hospitality,Seattle,4C (Marine),1982,1083197.0,34,Hospitality,0.86,Steel,Masonry,0.54,High,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),42,Moderate,5,Medium Risk,531505600.0,490.68
BLDG_24112,FLEET PRIDE,Mixed Use,Seattle,4C (Marine),1966,24354.0,1,Mixed Use,0.8,Brick,Masonry,0.17,Medium,Mixed System,LED,False,0.0,False,None,Seattle Open Data (2020),58,Moderate,4,Medium Risk,9494700.0,389.86
BLDG_19976,CAL-MORE CIRCLE APTS,Residential,Seattle,4C (Marine),1968,51490.0,8,Residential,0.91,Timber,Window Wall,0.4,High,Heat Pump,Smart LED,False,0.0,False,Platinum,Seattle Open Data (2020),56,High,5,Medium Risk,21797100.0,423.33
BLDG_24803,JG CROWN HILL LLC,Retail,Seattle,4C (Marine),1993,25384.0,1,Retail,0.96,Composite,Masonry,0.5,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),31,Low,6,Medium Risk,8921200.0,351.45
BLDG_25850,BELGROVE COURT,Residential,Seattle,4C (Marine),1992,63102.0,6,Residential,0.85,Composite,Window Wall,0.39,High,District Heating,LED,False,0.0,False,Gold,Seattle Open Data (2020),32,High,1,Low Risk,19057100.0,302.0
BLDG_20741,WEST TOWN VIEW APTS,Residential,Seattle,4C (Marine),1977,40758.0,6,Residential,0.88,Concrete,Rain Screen,0.43,High,Standard HVAC,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),47,Moderate,5,Medium Risk,12959500.0,317.96
BLDG_23228,SAFEWAY STORE # 1143,Retail,Seattle,4C (Marine),1994,45522.0,1,Retail,0.91,Steel,Curtain Wall,0.49,Medium,Electric Resistance,LED,False,0.0,False,Certified,Seattle Open Data (2020),30,Moderate,7,High Risk,24742600.0,543.53
BLDG_21921,SAFEWAY STORE # 488,Retail,Seattle,4C (Marine),1975,33005.0,1,Retail,0.88,Brick,Masonry,0.17,High,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),49,High,3,Low Risk,13503100.0,409.12
BLDG_858,JAMES TOWER (PROVIDENCE MEDICAL CENTER),Healthcare,Seattle,4C (Marine),1910,320946.0,6,Healthcare,0.94,Concrete,Insulated Panels,0.35,Medium,High Efficiency HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),114,Moderate,4,Medium Risk,198713000.0,619.15
BLDG_21941,FIRST AND BROAD CONDO (ELLINGTON),Residential,Seattle,4C (Marine),2000,264239.0,12,Residential,0.92,Concrete,Masonry,0.55,Medium,Heat Pump,LED,False,0.0,False,None,Seattle Open Data (2020),24,Low,7,High Risk,87300300.0,330.38
BLDG_21125,THE PECK BUILDING,Office,Seattle,4C (Marine),2001,33740.0,5,Office,0.84,Steel,Masonry,0.51,High,Mixed System,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),23,Moderate,3,Low Risk,12358200.0,366.28
BLDG_26862,THE PACIFIC,Residential,Seattle,4C (Marine),1989,23341.0,4,Residential,0.91,Concrete,Window Wall,0.43,High,District Heating,LED,True,128.6,False,Gold,Seattle Open Data (2020),35,High,0,Low Risk,7292800.0,312.45
BLDG_19477,GLACIER MARINE SERVICES,Mixed Use,Seattle,4C (Marine),1976,44100.0,1,Mixed Use,0.94,Composite,Curtain Wall,0.38,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),48,Low,8,High Risk,17818100.0,404.04
BLDG_467,FRED MEYER BALLARD,Retail,Seattle,4C (Marine),1999,164437.0,1,Retail,0.89,Concrete,Masonry,0.41,High,District Heating,Smart LED,True,324.1,False,None,Seattle Open Data (2020),25,Moderate,1,Low Risk,53236300.0,323.75
BLDG_50490,CLEMENT PLACE,Residential,Seattle,4C (Marine),2019,58140.0,6,Residential,0.84,Brick,Masonry,0.25,High,Heat Pump,Smart LED,True,192.5,False,Certified,Seattle Open Data (2020),5,Moderate,3,Low Risk,18623400.0,320.32
BLDG_22866,FISHERMAN'S COMMERCE BLDG,Office,Seattle,4C (Marine),1983,40571.0,4,Office,0.95,Steel,Window Wall,0.49,High,High Efficiency HVAC,LED,True,113.6,False,Certified,Seattle Open Data (2020),41,Moderate,2,Low Risk,14008000.0,345.27
BLDG_27343,RAVENNA WOODS CONDOMINIUM,Residential,Seattle,4C (Marine),1981,42448.0,3,Residential,0.85,Steel,Window Wall,0.43,High,High Efficiency HVAC,LED,True,335.2,False,Silver,Seattle Open Data (2020),43,Moderate,2,Low Risk,14914300.0,351.35
BLDG_21898,HALFON CANDY CO.,Mixed Use,Seattle,4C (Marine),1978,31300.0,1,Mixed Use,0.87,Composite,Curtain Wall,0.51,Low,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),46,Low,10,Critical Risk,16021800.0,511.88
BLDG_23306,THE MONTICELLO APTS,Residential,Seattle,4C (Marine),1957,51098.0,3,Residential,0.92,Concrete,Curtain Wall,0.35,High,Mixed System,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),67,Moderate,4,Medium Risk,16634000.0,325.53
BLDG_19799,ANNARON,Residential,Seattle,4C (Marine),1965,20296.0,3,Residential,0.95,Glass-heavy facade,Curtain Wall,0.67,Low,Mixed System,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),59,Moderate,5,Medium Risk,6990400.0,344.42
BLDG_21951,507 NORTHGATE,Residential,Seattle,4C (Marine),2008,295410.0,5,Residential,0.96,Composite,Insulated Panels,0.42,Medium,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),16,Low,5,Medium Risk,87599100.0,296.53
BLDG_23102,HARBOUR HEIGHTS CONDOMINIUM,Residential,Seattle,4C (Marine),1980,125258.0,18,Residential,0.88,Steel,Window Wall,0.42,Medium,Mixed System,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),44,Low,9,High Risk,52780700.0,421.38
BLDG_23466,THE QUEENSBOROUGH,Residential,Seattle,4C (Marine),1950,129860.0,8,Residential,0.95,Concrete,Curtain Wall,0.35,High,Heat Pump,Smart LED,True,178.1,False,Gold,Seattle Open Data (2020),74,High,2,Low Risk,43027900.0,331.34
BLDG_25526,WATERFRONT AT ALKI BEACH CONDOMINIUM,Residential,Seattle,4C (Marine),1996,43222.0,6,Residential,0.89,Timber,Masonry,0.47,High,High Efficiency HVAC,Smart LED,True,437.4,False,Platinum,Seattle Open Data (2020),28,High,1,Low Risk,15678400.0,362.74
BLDG_50489,BROOKLYN 65 (SEDU APTS),Residential,Seattle,4C (Marine),2019,26255.0,6,Residential,0.9,Steel,Insulated Panels,0.55,High,Heat Pump,LED,True,120.7,False,Gold,Seattle Open Data (2020),5,High,0,Low Risk,8466400.0,322.47
BLDG_26846,WASHINGTON TERRACE APTS,Residential,Seattle,4C (Marine),2005,134974.0,7,Residential,0.88,Steel,Rain Screen,0.52,High,District Heating,Smart LED,True,372.4,False,Platinum,Seattle Open Data (2020),19,High,0,Low Risk,43746200.0,324.11
BLDG_376,5TH & BELL BUILDING,Office,Seattle,4C (Marine),2002,287471.0,6,Office,0.95,Concrete,Window Wall,0.42,High,High Efficiency HVAC,LED,False,0.0,False,Silver,Seattle Open Data (2020),22,Moderate,2,Low Risk,111965300.0,389.48
BLDG_24376,SE Seattle Community Health Center,Government,Seattle,4C (Marine),1990,38352.0,2,Government,0.78,Glass-heavy facade,Curtain Wall,0.81,Medium,Heat Pump,LED,False,0.0,True,None,Seattle Open Data (2020),34,Moderate,2,Low Risk,18623000.0,485.58
BLDG_50016,AMLI MARK 24 APTS,Residential,Seattle,4C (Marine),2014,418285.0,7,Residential,0.88,Glass-heavy facade,Curtain Wall,0.77,Medium,Heat Pump,LED,True,301.0,False,Gold,Seattle Open Data (2020),10,High,2,Low Risk,200093100.0,478.37
BLDG_457,1441 LAKE UNION CENTER,Office,Seattle,4C (Marine),2001,103697.0,3,Office,0.95,Steel,Masonry,0.44,Medium,Electric Resistance,Incandescent,False,0.0,False,None,Seattle Open Data (2020),23,Low,8,High Risk,47771000.0,460.68
BLDG_25849,OLETA,Residential,Seattle,4C (Marine),1910,21264.0,3,Residential,0.92,Timber,Curtain Wall,0.35,High,Heat Pump,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),114,Moderate,2,Low Risk,7192200.0,338.23
BLDG_20503,SEATTLE CHILDREN'S HOSPITAL  (ODESSA BROWN CHILDREN'S CLINIC),Healthcare,Seattle,4C (Marine),1990,39000.0,2,Healthcare,0.97,Brick,Masonry,0.15,Medium,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),34,High,1,Low Risk,23433700.0,600.86
BLDG_21917,LAKEVIEW MED BLDG,Healthcare,Seattle,4C (Marine),1967,38378.0,3,Healthcare,0.94,Glass-heavy facade,Curtain Wall,0.69,Low,Mixed System,LED,False,0.0,False,Certified,Seattle Open Data (2020),57,Moderate,5,Medium Risk,24650100.0,642.3
BLDG_27590,MERIDIAN 106 CONDOS CONDOMINIUM,Residential,Seattle,4C (Marine),1979,20806.0,4,Residential,0.88,Brick,Masonry,0.34,High,Heat Pump,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),45,Moderate,3,Low Risk,7124400.0,342.42
BLDG_23172,"TAVONA CONDOMINIUM, UNIT C - 3",Residential,Seattle,4C (Marine),2005,66013.0,4,Residential,0.94,Concrete,Curtain Wall,0.53,Medium,High Efficiency HVAC,LED,False,0.0,False,Gold,Seattle Open Data (2020),19,Moderate,2,Low Risk,22708400.0,344.0
BLDG_23574,OLYMPIC WEST APTS,Residential,Seattle,4C (Marine),1970,54820.0,9,Residential,0.95,Timber,Window Wall,0.36,Low,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),54,Low,7,High Risk,19831300.0,361.75
BLDG_24448,ALFA ROMEO AUTO SHOWROOM,Mixed Use,Seattle,4C (Marine),1913,36000.0,1,Mixed Use,0.83,Brick,Masonry,0.26,Low,Electric Resistance,Incandescent,False,0.0,False,None,Seattle Open Data (2020),111,Low,7,High Risk,13334000.0,370.39
BLDG_26354,NW MARKET STREET CONDOMINIUM,Residential,Seattle,4C (Marine),1969,20143.0,3,Residential,0.87,Glass-heavy facade,Curtain Wall,0.74,Low,Standard HVAC,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),55,Moderate,7,High Risk,7077000.0,351.34
BLDG_19673,BELLORA CONDOMINIUM,Residential,Seattle,4C (Marine),2003,105707.0,13,Residential,0.87,Concrete,Masonry,0.47,Low,Heat Pump,Fluorescent,False,0.0,False,Certified,Seattle Open Data (2020),21,Moderate,6,Medium Risk,35200600.0,333.0
BLDG_26100,THE DANIELS APTS,Residential,Seattle,4C (Marine),1995,63590.0,3,Residential,0.96,Glass-heavy facade,Curtain Wall,0.75,High,High Efficiency HVAC,Smart LED,False,0.0,False,Gold,Seattle Open Data (2020),29,High,3,Low Risk,23633900.0,371.66
BLDG_20493,SPRING LAKE APTS,Residential,Seattle,4C (Marine),1986,67624.0,3,Residential,0.97,Concrete,Insulated Panels,0.49,High,Heat Pump,LED,False,0.0,False,Platinum,Seattle Open Data (2020),38,High,2,Low Risk,21728300.0,321.31
BLDG_25062,MURAL APARTMENTS,Residential,Seattle,4C (Marine),2008,156605.0,7,Residential,0.97,Composite,Rain Screen,0.26,High,High Efficiency HVAC,LED,True,31.9,False,Silver,Seattle Open Data (2020),16,Moderate,0,Low Risk,49857100.0,318.36
BLDG_21555,DEXTER PLACE CONDOMINIUM,Residential,Seattle,4C (Marine),1985,22984.0,4,Residential,0.86,Glass-heavy facade,Curtain Wall,0.77,High,Heat Pump,Smart LED,True,254.2,False,Platinum,Seattle Open Data (2020),39,High,0,Low Risk,7977100.0,347.07
BLDG_23571,GLEN EDEN APTS,Residential,Seattle,4C (Marine),1929,36282.0,3,Residential,0.93,Steel,Curtain Wall,0.54,Medium,High Efficiency HVAC,LED,True,116.6,False,Silver,Seattle Open Data (2020),95,Moderate,3,Low Risk,13278700.0,365.99
BLDG_27868,PARK ROYAL APARTMENTS,Residential,Seattle,4C (Marine),1988,28080.0,4,Residential,0.96,Composite,Rain Screen,0.52,High,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),36,High,2,Low Risk,9197900.0,327.56
BLDG_26319,WING LUKE ELEMENTARY SCHOOL (SPS-DISTRICT) -INACTIVE,Educational,Seattle,4C (Marine),1971,52901.0,2,Educational,0.88,Concrete,Insulated Panels,0.43,Medium,Heat Pump,Smart LED,False,0.0,False,None,Seattle Open Data (2020),53,Moderate,3,Low Risk,19434300.0,367.37
BLDG_23590,500 WEST OLYMPIC PLACE COOP,Residential,Seattle,4C (Marine),1962,33164.0,4,Residential,0.94,Concrete,Insulated Panels,0.37,High,High Efficiency HVAC,Smart LED,True,298.8,True,Platinum,Seattle Open Data (2020),62,High,3,Low Risk,12344400.0,372.22
BLDG_491,SOUTH TOWER,Office,Seattle,4C (Marine),1970,87178.0,5,Office,0.85,Concrete,Insulated Panels,0.25,High,Heat Pump,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),54,Moderate,3,Low Risk,31622300.0,362.73
BLDG_20163,ASPIRA - APARTMENTS,Residential,Seattle,4C (Marine),2008,517164.0,37,Residential,0.91,Steel,Masonry,0.35,High,High Efficiency HVAC,Smart LED,False,0.0,False,Silver,Seattle Open Data (2020),16,Moderate,2,Low Risk,178161900.0,344.5
BLDG_19862,SEATTLE METROPOLITAN CREDIT UNION- demolished,Office,Seattle,4C (Marine),1979,63990.0,3,Office,0.92,Concrete,Curtain Wall,0.29,High,High Efficiency HVAC,Smart LED,False,0.0,False,None,Seattle Open Data (2020),45,Moderate,4,Medium Risk,25160700.0,393.2
BLDG_26150,FAIRMOUNT PARK ELEMENTARY SCHOOL (SPS-DISTRICT),Educational,Seattle,4C (Marine),1964,39929.0,2,Educational,0.9,Timber,Insulated Panels,0.47,High,High Efficiency HVAC,Smart LED,False,0.0,False,Gold,Seattle Open Data (2020),60,High,3,Low Risk,15928000.0,398.91
BLDG_26695,THE CHURCH IN SEATTLE,Mixed Use,Seattle,4C (Marine),1978,27500.0,2,Mixed Use,0.93,Concrete,Window Wall,0.44,Low,Heat Pump,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),46,Moderate,5,Medium Risk,10700300.0,389.1
BLDG_492,QUEEN ANNE PLAZA,Office,Seattle,4C (Marine),1985,86995.0,4,Office,0.89,Composite,Masonry,0.45,Medium,Heat Pump,LED,True,317.7,False,Gold,Seattle Open Data (2020),39,High,1,Low Risk,33437800.0,384.36
BLDG_27232,MEZZO CONDOMINIUM,Residential,Seattle,4C (Marine),1989,20380.0,4,Residential,0.93,Timber,Window Wall,0.43,High,High Efficiency HVAC,LED,True,247.3,False,Gold,Seattle Open Data (2020),35,High,0,Low Risk,7200700.0,353.32
BLDG_760,TWO PINE,Office,Seattle,4C (Marine),1908,132998.0,10,Office,0.92,Concrete,Masonry,0.33,High,District Heating,Smart LED,True,327.8,False,Gold,Seattle Open Data (2020),116,High,2,Low Risk,51783200.0,389.35
BLDG_49988,EVOLVE APARTMENTS,Residential,Seattle,4C (Marine),2015,107556.0,6,Residential,0.77,Brick,Masonry,0.16,High,High Efficiency HVAC,Smart LED,False,0.0,False,Platinum,Seattle Open Data (2020),9,High,3,Low Risk,37264300.0,346.46
BLDG_243,VAN ASSELT BLDG RENOVATED (SPS-DISTRICT),Educational,Seattle,4C (Marine),1925,143516.0,1,Educational,0.9,Concrete,Insulated Panels,0.54,Low,Heat Pump,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),99,Moderate,5,Medium Risk,51788900.0,360.86
BLDG_24858,SPENCER APTS,Residential,Seattle,4C (Marine),1969,46720.0,3,Residential,0.94,Glass-heavy facade,Curtain Wall,0.73,High,High Efficiency HVAC,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),55,Moderate,3,Low Risk,16255500.0,347.93
BLDG_22517,CROWN POINT APTS,Residential,Seattle,4C (Marine),1988,32076.0,3,Residential,0.93,Glass-heavy facade,Curtain Wall,0.82,High,District Heating,Smart LED,True,230.4,False,Gold,Seattle Open Data (2020),36,High,1,Low Risk,11057300.0,344.72
