operation_id,building_id,reporting_year,annual_energy_use_kbtu,energy_use_intensity_kbtu_sqft,annual_electricity_cost,annual_water_cost,annual_maintenance_cost,annual_operating_cost,carbon_emissions_metric_tons,energy_star_score,peak_demand_kw,water_use_gallons,operating_cost_per_sqft,emissions_intensity,energy_efficiency_rating,energy_cost_per_sqft,emissions_per_sqft,high_energy_use_flag,high_emissions_flag,retrofit_needed_flag
OP_0050,BLDG_21125,2024,1453302.0,52.40000153,50900.0,6600.0,42200.0,99700.0,33.9,72,112.3,440000.0,2.95,1.22,Good,1.51,0.001,False,True,False
OP_0051,BLDG_26862,2024,609922.0,26.10000038,8500.0,11400.0,31700.0,51600.0,10.9,90,74.8,760000.0,2.21,0.53,Excellent,0.36,0.0005,False,False,False
OP_0052,BLDG_19477,2024,765668.0,19.10000038,26800.0,15000.0,74100.0,115900.0,4.4,16,164.0,1000000.0,2.63,0.1,Poor,0.61,0.0001,False,False,True
OP_0053,BLDG_467,2024,15211055.0,88.80000305,483800.0,28300.0,220500.0,732600.0,255.4,84,533.7,1886670.0,4.46,1.55,Excellent,2.94,0.0016,False,False,False
OP_0054,BLDG_50490,2024,2939360.0,52.40000153,74000.0,26500.0,68200.0,168700.0,77.5,81,189.9,1766670.0,2.9,1.37,Excellent,1.27,0.0013,True,True,False
OP_0055,BLDG_22866,2024,884056.0,36.79999924,13900.0,9300.0,58800.0,82000.0,5.1,75,134.2,620000.0,2.02,0.17,Good,0.34,0.0001,False,False,False
OP_0056,BLDG_27343,2024,1178282.0,27.79999924,16500.0,18200.0,61000.0,95700.0,6.8,82,138.4,1213330.0,2.25,0.16,Excellent,0.39,0.0002,False,False,False
OP_0057,BLDG_21898,2024,1715006.0,54.79999924,60000.0,8900.0,59700.0,128600.0,87.8,41,111.0,593330.0,4.11,2.81,Fair,1.92,0.0028,False,True,True
OP_0058,BLDG_23306,2024,1970128.0,38.59999847,69000.0,25600.0,76700.0,171300.0,11.4,78,168.0,1706670.0,3.35,0.22,Good,1.35,0.0002,False,False,False
OP_0059,BLDG_19799,2024,596487.0,30.5,20900.0,11300.0,35100.0,67300.0,3.5,72,67.6,753330.0,3.32,0.18,Good,1.03,0.0002,False,False,False
OP_0060,BLDG_21951,2024,8975738.0,52.59999847,314200.0,143300.0,381300.0,838800.0,135.9,30,1069.8,9553330.0,2.84,0.79,Poor,1.06,0.0005,True,False,True
OP_0061,BLDG_23102,2024,6990654.0,57.5,244700.0,58900.0,184300.0,487900.0,228.2,49,437.0,3926670.0,3.9,1.82,Fair,1.95,0.0018,True,True,True
OP_0062,BLDG_23466,2024,1270258.0,15.19999981,17800.0,64800.0,194300.0,276900.0,7.4,100,407.0,4320000.0,2.13,0.09,Excellent,0.14,0.0001,False,False,False
OP_0063,BLDG_25526,2024,1485533.0,34.40000153,20800.0,22000.0,63300.0,106100.0,44.8,90,138.5,1466670.0,2.45,1.04,Excellent,0.48,0.001,False,True,False
OP_0064,BLDG_50489,2024,1096345.0,41.79999924,20300.0,11900.0,31800.0,64000.0,21.1,96,83.0,793330.0,2.44,0.8,Excellent,0.77,0.0008,False,False,False
OP_0065,BLDG_26846,2024,3635628.0,30.10000038,71400.0,68400.0,161000.0,300800.0,70.7,99,423.9,4560000.0,2.23,0.66,Excellent,0.53,0.0005,False,False,False
OP_0066,BLDG_376,2024,10889930.0,54.0,381100.0,69300.0,352600.0,803000.0,65.3,78,945.0,4620000.0,2.79,0.32,Good,1.33,0.0002,False,False,False
OP_0067,BLDG_24376,2024,1797745.0,65.40000153,62900.0,8400.0,56500.0,127800.0,10.4,61,130.6,560000.0,3.33,0.38,Good,1.64,0.0003,False,False,False
OP_0068,BLDG_50016,2024,8435872.0,29.0,250100.0,195500.0,523700.0,969300.0,161.6,100,1310.9,13033330.0,2.32,0.56,Excellent,0.6,0.0004,False,False,False
OP_0069,BLDG_457,2024,13477462.0,212.1000061,471700.0,24600.0,123200.0,619500.0,353.7,1,396.5,1640000.0,5.97,6.31,Poor,4.55,0.0034,True,True,True
OP_0070,BLDG_25849,2024,388223.0,18.29999924,13600.0,10300.0,36500.0,60400.0,3.6,100,66.6,686670.0,2.84,0.17,Excellent,0.64,0.0002,False,False,False
OP_0071,BLDG_20503,2024,1410028.0,36.20000076,49400.0,26700.0,52300.0,128400.0,20.2,95,123.6,1780000.0,3.29,0.52,Excellent,1.27,0.0005,False,False,False
OP_0072,BLDG_21917,2024,1979570.0,67.69999695,69300.0,29600.0,60000.0,158900.0,54.2,69,128.6,1973330.0,4.14,1.41,Good,1.81,0.0014,False,False,False
OP_0073,BLDG_27590,2024,562324.0,27.0,19700.0,10600.0,33000.0,63300.0,3.3,76,68.7,706670.0,3.04,0.16,Good,0.95,0.0002,False,False,False
OP_0074,BLDG_23172,2024,1621183.0,33.40000153,56700.0,33900.0,77900.0,168500.0,9.4,63,223.9,2260000.0,2.55,0.14,Good,0.86,0.0001,False,False,False
OP_0075,BLDG_23574,2024,2617442.0,53.09999847,91600.0,26600.0,100700.0,218900.0,39.3,51,190.5,1773330.0,3.99,0.88,Fair,1.67,0.0007,True,False,True
OP_0076,BLDG_24448,2024,1110481.0,61.70000076,38900.0,10800.0,62000.0,111700.0,30.5,15,134.1,720000.0,3.1,1.7,Poor,1.08,0.0008,True,False,True
OP_0077,BLDG_26354,2024,551551.0,27.39999962,19300.0,10400.0,37000.0,66700.0,3.2,73,66.9,693330.0,3.31,0.16,Good,0.96,0.0002,False,False,False
OP_0078,BLDG_19673,2024,4653858.0,44.0,162900.0,45000.0,127900.0,335800.0,144.4,68,354.8,3000000.0,3.18,1.37,Good,1.54,0.0014,True,True,False
OP_0079,BLDG_26100,2024,1180307.0,24.0,41300.0,33800.0,82400.0,157500.0,6.8,97,200.6,2253330.0,2.48,0.14,Excellent,0.65,0.0001,False,False,False
OP_0080,BLDG_20493,2024,613009.0,12.10000038,21500.0,37700.0,96800.0,156000.0,3.6,100,211.9,2513330.0,2.31,0.07,Excellent,0.32,0.0001,False,False,False
OP_0081,BLDG_25062,2024,3549665.0,31.10000038,119500.0,81200.0,181700.0,382400.0,81.0,100,490.8,5413330.0,2.44,0.71,Excellent,0.76,0.0005,False,False,False
OP_0082,BLDG_21555,2024,106503.0,7.0,1500.0,10100.0,34100.0,45700.0,0.6,100,72.0,673330.0,1.99,0.03,Excellent,0.07,0.0,False,False,False
OP_0083,BLDG_23571,2024,1076604.0,34.29999924,20200.0,19300.0,60600.0,100100.0,27.5,94,115.2,1286670.0,2.76,0.87,Excellent,0.56,0.0008,False,False,False
OP_0084,BLDG_27868,2024,649840.0,23.10000038,22700.0,15900.0,36900.0,75500.0,3.8,90,90.0,1060000.0,2.69,0.15,Excellent,0.81,0.0001,False,False,False
OP_0085,BLDG_26319,2024,2599932.0,48.29999924,91000.0,10500.0,86800.0,188300.0,76.6,83,172.1,700000.0,3.56,1.45,Excellent,1.72,0.0014,False,False,False
OP_0086,BLDG_23590,2024,574182.0,21.29999924,8000.0,18300.0,55100.0,81400.0,3.3,96,104.9,1220000.0,2.45,0.12,Excellent,0.24,0.0001,False,False,False
OP_0087,BLDG_491,2024,2872400.0,43.0,100500.0,18600.0,135000.0,254100.0,16.7,80,285.4,1240000.0,2.91,0.25,Excellent,1.15,0.0002,False,False,False
OP_0088,BLDG_20163,2024,12846387.0,33.29999924,449600.0,246300.0,601000.0,1296900.0,236.4,84,1678.4,16420000.0,2.51,0.64,Excellent,0.87,0.0005,False,False,False
OP_0089,BLDG_19862,2024,1238510.0,31.79999924,43300.0,14700.0,102200.0,160200.0,7.2,80,209.5,980000.0,2.5,0.19,Excellent,0.68,0.0001,False,False,False
OP_0090,BLDG_26150,2024,1758300.0,27.70000076,61500.0,8100.0,61700.0,131300.0,51.2,88,128.5,540000.0,3.29,1.28,Excellent,1.54,0.0013,False,False,False
OP_0091,BLDG_26695,2024,601126.0,16.60000038,21000.0,8900.0,46800.0,76700.0,14.0,66,92.7,593330.0,2.79,0.51,Good,0.76,0.0005,False,False,False
OP_0092,BLDG_492,2024,618668.0,10.60000038,8700.0,19100.0,113300.0,141100.0,3.6,100,272.6,1273330.0,1.62,0.06,Excellent,0.1,0.0,False,False,False
OP_0093,BLDG_27232,2024,582589.0,31.20000076,8200.0,9900.0,27700.0,45800.0,3.4,86,65.9,660000.0,2.25,0.17,Excellent,0.4,0.0002,False,False,False
OP_0094,BLDG_760,2024,3974464.0,28.70000076,89900.0,29200.0,223600.0,342700.0,153.1,97,419.6,1946670.0,2.58,1.15,Excellent,0.68,0.0012,False,True,False
OP_0095,BLDG_49988,2024,2346945.0,33.29999924,82100.0,43300.0,119100.0,244500.0,13.6,88,346.1,2886670.0,2.27,0.13,Excellent,0.76,0.0001,False,False,False
OP_0096,BLDG_243,2024,4588624.0,34.70000076,160600.0,29100.0,230000.0,419700.0,152.2,64,485.8,1940000.0,2.92,1.06,Good,1.12,0.0011,False,False,False
OP_0097,BLDG_24858,2024,881486.0,32.29999924,30900.0,22700.0,79600.0,133200.0,5.1,76,154.2,1513330.0,2.85,0.19,Good,0.66,0.0001,False,False,False
OP_0098,BLDG_22517,2024,620510.0,26.0,8700.0,17300.0,45900.0,71900.0,3.6,91,102.5,1153330.0,2.24,0.15,Excellent,0.27,0.0001,False,False,False
OP_0099,BLDG_850,2024,1309213.0,23.79999924,45800.0,10600.0,73100.0,129500.0,7.6,79,181.6,706670.0,2.34,0.14,Good,0.83,0.0001,False,False,False
OP_0100,BLDG_27561,2024,584355.0,22.79999924,20500.0,8200.0,38500.0,67200.0,4.6,79,83.9,546670.0,2.63,0.18,Good,0.8,0.0002,False,False,False
OP_0101,BLDG_46,2024,47843892.0,66.90000153,1674500.0,205200.0,1325200.0,3204900.0,277.5,1,2730.3,13680000.0,4.49,0.39,Poor,2.34,0.0004,True,False,True
OP_0102,BLDG_35391,2024,3467070.0,109.0999985,121300.0,5900.0,42300.0,169500.0,20.1,4,129.3,393330.0,4.98,0.59,Poor,3.57,0.0006,False,False,True
OP_0103,BLDG_50001,2024,3782212.0,40.20000076,132400.0,58600.0,136600.0,327600.0,88.6,90,380.6,3906670.0,2.76,1.0,Excellent,1.11,0.0007,False,False,False
OP_0104,BLDG_21486,2024,1556680.0,30.20000076,21800.0,25800.0,87200.0,134800.0,30.9,94,163.8,1720000.0,2.61,0.6,Excellent,0.42,0.0006,False,False,False
OP_0105,BLDG_26351,2024,468137.0,21.79999924,6600.0,10100.0,37300.0,54000.0,2.7,90,68.7,673330.0,2.52,0.13,Excellent,0.31,0.0001,False,False,False
OP_0106,BLDG_49939,2024,1222305.0,38.29999924,34300.0,15400.0,35300.0,85000.0,7.1,30,115.6,1026670.0,2.66,0.22,Poor,1.07,0.0002,False,False,True
OP_0107,BLDG_23308,2024,533465.0,25.39999962,7500.0,10700.0,36300.0,54500.0,3.1,98,66.1,713330.0,2.6,0.15,Excellent,0.36,0.0001,False,False,False
OP_0108,BLDG_50178,2024,1524933.0,34.70000076,21300.0,20600.0,50100.0,92000.0,9.1,20,163.1,1373330.0,2.08,0.21,Poor,0.48,0.0002,False,False,True
OP_0109,BLDG_409,2024,3747572.0,41.40000153,131200.0,22200.0,154700.0,308100.0,21.7,68,368.7,1480000.0,2.81,0.22,Good,1.19,0.0002,False,False,False
OP_0110,BLDG_50955,2024,3259548.0,24.60000038,46600.0,69700.0,161900.0,278200.0,81.3,100,414.9,4646670.0,2.1,2.33,Excellent,0.35,0.0006,False,True,False
OP_0111,BLDG_50170,2024,1691076.0,37.90000153,59200.0,29000.0,50700.0,138900.0,9.8,95,141.8,1933330.0,3.1,0.22,Excellent,1.32,0.0002,False,False,False
OP_0112,BLDG_23404,2024,1017547.0,42.09999847,14200.0,5000.0,42000.0,61200.0,43.2,94,79.9,333330.0,2.43,1.72,Excellent,0.56,0.0017,False,True,False
OP_0113,BLDG_23890,2024,2490384.0,39.90000153,87200.0,37600.0,127100.0,251900.0,21.8,27,299.0,2506670.0,3.07,0.27,Poor,1.06,0.0003,False,False,True
OP_0114,BLDG_559,2024,9024699.0,49.5,315900.0,38400.0,263200.0,617500.0,54.6,84,595.8,2560000.0,3.36,0.3,Excellent,1.72,0.0003,False,False,False
OP_0115,BLDG_19930,2024,1589039.0,50.09999847,55600.0,15200.0,42000.0,112800.0,28.1,51,118.4,1013330.0,3.31,0.82,Fair,1.63,0.0008,True,False,True
OP_0116,BLDG_532,2024,6770232.0,105.6999969,237000.0,16200.0,111500.0,364700.0,103.2,86,295.1,1080000.0,3.99,1.61,Excellent,2.6,0.0011,False,False,False
OP_0117,BLDG_383,2024,16276140.0,54.70000076,569700.0,59600.0,528000.0,1157300.0,515.6,77,1002.6,3973330.0,3.8,1.69,Good,1.87,0.0017,False,True,False
OP_0118,BLDG_752,2024,9185697.0,52.5,321500.0,34800.0,259800.0,616100.0,333.4,85,547.4,2320000.0,3.65,1.97,Excellent,1.9,0.002,False,True,False
OP_0119,BLDG_22753,2024,1263348.0,33.90000153,44200.0,29900.0,81500.0,155600.0,7.3,71,192.5,1993330.0,2.7,0.17,Good,0.77,0.0001,False,False,False
OP_0120,BLDG_529,2024,4957256.0,56.40000153,144600.0,21300.0,146800.0,312700.0,131.4,72,313.0,1420000.0,3.33,1.5,Good,1.54,0.0014,False,True,False
OP_0121,BLDG_19854,2024,2929714.0,44.70000076,102500.0,34500.0,107000.0,244000.0,102.1,72,218.2,2300000.0,3.72,1.56,Good,1.56,0.0016,True,True,False
OP_0122,BLDG_25110,2024,831147.0,35.29999924,29100.0,14100.0,43600.0,86800.0,4.8,65,102.0,940000.0,2.87,0.2,Good,0.96,0.0002,False,False,False
OP_0123,BLDG_22830,2024,1107504.0,23.20000076,38800.0,5000.0,37400.0,81200.0,6.4,87,76.7,333330.0,3.42,0.27,Excellent,1.63,0.0003,False,False,False
OP_0124,BLDG_19885,2024,5602024.0,39.29999924,188600.0,86200.0,235100.0,509900.0,111.9,92,612.7,5746670.0,2.65,0.79,Excellent,0.98,0.0006,False,False,False
OP_0125,BLDG_25599,2024,663268.0,22.60000038,23200.0,13300.0,38000.0,74500.0,3.8,92,93.6,886670.0,2.54,0.13,Excellent,0.79,0.0001,False,False,False
OP_0126,BLDG_547,2024,1076458.0,18.79999924,15100.0,19100.0,90600.0,124800.0,38.2,83,194.0,1273330.0,2.09,0.64,Excellent,0.25,0.0006,False,False,False
OP_0127,BLDG_27008,2024,2895646.0,53.79999924,101300.0,10000.0,89500.0,200800.0,130.0,65,185.6,666670.0,3.65,2.37,Good,1.84,0.0024,True,True,False
OP_0128,BLDG_21319,2024,745203.0,21.5,26100.0,7500.0,55700.0,89300.0,19.7,91,114.6,500000.0,2.49,0.55,Excellent,0.73,0.0005,False,False,False
OP_0129,BLDG_19448,2024,860924.0,35.79999924,30100.0,10100.0,39400.0,79600.0,5.0,46,84.4,673330.0,3.31,0.21,Fair,1.25,0.0002,False,False,True
OP_0130,BLDG_19830,2024,2232781.0,30.70000076,78100.0,32000.0,95200.0,205300.0,29.3,99,228.5,2133330.0,2.82,0.4,Excellent,1.07,0.0004,False,False,False
OP_0131,BLDG_26391,2024,905696.0,38.0,31700.0,15300.0,41900.0,88900.0,23.2,90,89.7,1020000.0,3.18,0.97,Excellent,1.13,0.0008,False,False,False
OP_0132,BLDG_24030,2024,1267463.0,36.20000076,44400.0,8800.0,66500.0,119700.0,7.4,100,171.8,586670.0,2.18,0.2,Excellent,0.81,0.0001,False,False,False
OP_0133,BLDG_50501,2024,1279592.0,21.10000038,22800.0,44200.0,94200.0,161200.0,8.0,90,267.2,2946670.0,1.93,0.13,Excellent,0.27,0.0001,False,False,False
OP_0134,BLDG_50476,2024,4359917.0,29.89999962,106800.0,129500.0,274000.0,510300.0,31.8,98,739.9,8633330.0,2.17,0.18,Excellent,0.45,0.0001,False,False,False
OP_0135,BLDG_25218,2024,504804.0,18.5,17700.0,14400.0,52200.0,84300.0,2.9,98,99.0,960000.0,2.68,0.11,Excellent,0.56,0.0001,False,False,False
OP_0136,BLDG_49947,2024,6294432.0,25.89999962,220300.0,161900.0,372400.0,754600.0,129.5,100,996.0,10793330.0,2.37,0.41,Excellent,0.69,0.0004,False,False,False
OP_0137,BLDG_25,2024,8722299.0,83.59999847,305300.0,60800.0,166700.0,532800.0,326.4,57,358.3,4053330.0,5.11,3.13,Fair,2.93,0.0031,False,True,True
OP_0138,BLDG_26188,2024,4533506.0,34.5,135700.0,77600.0,214600.0,427900.0,100.4,95,544.6,5173330.0,2.49,0.58,Excellent,0.79,0.0006,False,False,False
OP_0139,BLDG_337,2024,9591880.0,28.29999924,292000.0,98000.0,655100.0,1045100.0,59.7,98,1513.6,6533330.0,2.17,0.18,Excellent,0.61,0.0001,False,False,False
OP_0140,BLDG_21357,2024,775222.0,35.40000153,27100.0,15000.0,45400.0,87500.0,4.5,71,109.7,1000000.0,2.66,0.21,Good,0.82,0.0001,False,False,False
OP_0141,BLDG_19535,2024,1036054.0,27.39999962,14500.0,20800.0,53100.0,88400.0,25.6,97,119.3,1386670.0,2.34,0.68,Excellent,0.38,0.0007,False,False,False
OP_0142,BLDG_87,2024,2991425.0,33.20000076,99400.0,14800.0,95600.0,209800.0,106.7,90,253.0,986670.0,2.66,1.35,Excellent,1.26,0.0014,False,False,False
OP_0143,BLDG_20153,2024,1014569.0,24.39999962,35500.0,20400.0,53100.0,109000.0,5.9,83,135.5,1360000.0,2.62,0.14,Excellent,0.85,0.0001,False,False,False
OP_0144,BLDG_837,2024,1211008.0,13.89999962,42400.0,28100.0,109700.0,180200.0,29.8,86,282.2,1873330.0,2.06,0.37,Excellent,0.49,0.0003,False,False,False
OP_0145,BLDG_21671,2024,1556883.0,34.20000076,21800.0,40200.0,90100.0,152100.0,9.0,97,230.3,2680000.0,2.08,0.2,Excellent,0.3,0.0001,False,False,False
OP_0146,BLDG_20880,2024,859638.0,24.20000076,30100.0,16900.0,57500.0,104500.0,5.0,93,113.0,1126670.0,2.94,0.14,Excellent,0.85,0.0001,False,False,False
OP_0147,BLDG_26129,2024,288663.0,14.19999981,10100.0,9900.0,32400.0,52400.0,4.1,100,63.7,660000.0,2.58,0.2,Excellent,0.5,0.0002,False,False,False
OP_0148,BLDG_652,2024,5226525.0,42.0,160100.0,29100.0,189800.0,379000.0,30.3,85,447.2,1940000.0,2.74,0.25,Excellent,1.16,0.0002,False,False,False
OP_0149,BLDG_23075,2024,567609.0,23.60000038,19900.0,12000.0,37600.0,69500.0,3.3,84,78.4,800000.0,2.88,0.14,Excellent,0.82,0.0001,False,False,False
