building_id,building_name,building_type,location_city,climate_zone,year_built,building_age,floor_area_sqft,number_of_floors,occupancy_type,average_occupancy_rate,primary_material,facade_type,window_to_wall_ratio,insulation_level,hvac_system_type,lighting_system_type,renewable_energy_flag,solar_panel_capacity_kw,green_roof_flag,leed_certification_level,estimated_construction_cost,actual_construction_cost,cost_overrun_amount,cost_overrun_percentage,cost_per_sqft,contractor_name,delay_days,delay_reason,construction_delay_flag,annual_energy_use_kbtu,energy_use_intensity_kbtu_sqft,annual_electricity_cost,annual_water_cost,annual_maintenance_cost,annual_operating_cost,operating_cost_per_sqft,carbon_emissions_metric_tons,emissions_intensity,energy_star_score,energy_efficiency_rating,recommended_action,estimated_retrofit_cost,estimated_annual_savings,payback_period_years,estimated_emissions_reduction_percent,retrofit_priority,implementation_complexity,lifecycle_cost_estimate,lifecycle_cost_per_sqft,building_performance_risk_score,building_performance_risk_category
BLDG_21138,SATURN BUILDING,Office,Seattle,4C (Marine),1947,77,46958.0,1,Office,0.89,Glass-heavy facade,Curtain Wall,0.78,High,Heat Pump,LED,True,196.1,False,None,15132600.0,15235500.0,102900.0,0.0068,324.45,Summit Contractors,0,None,False,1968366.0,41.90000153,39500.0,11000.0,76400.0,126900.0,2.7,28.5,0.61,75,Good,LED Lighting Retrofit,16100.0,7100.0,2.27,9.72,Critical,Low,19042500.0,405.52,3,Low Risk
BLDG_19754,HUMPHREY HOUSE APARTMENTS,Residential,Seattle,4C (Marine),2009,15,40329.0,7,Residential,0.9,Concrete,Rain Screen,0.45,Low,Electric Resistance,Fluorescent,False,0.0,False,None,9025700.0,9252200.0,226500.0,0.0251,229.42,Cascade Building Group,37,Contractor Delay,True,3350160.0,85.0,117300.0,18900.0,46000.0,182200.0,4.52,97.7,2.42,43,Fair,HVAC Upgrade,73500.0,25800.0,2.85,18.99,Critical,Medium,14718200.0,364.95,8,High Risk
BLDG_49798,WALLY APARTMENTS,Residential,Seattle,4C (Marine),2013,11,28200.0,4,Residential,0.91,Timber,Masonry,0.46,Medium,District Heating,Fluorescent,False,0.0,False,None,6516400.0,7313400.0,797000.0,0.1223,259.34,Cascade Building Group,74,Supply Chain Issue,True,758540.0,33.70000076,26500.0,12900.0,32400.0,71800.0,2.55,4.4,0.19,53,Fair,LED Lighting Retrofit,10900.0,4800.0,2.27,11.74,Critical,Low,9467400.0,335.72,3,Low Risk
BLDG_24989,SUTTON PLACE CONDOMINIUM,Residential,Seattle,4C (Marine),1960,64,101706.0,10,Residential,0.86,Timber,Insulated Panels,0.44,Medium,Standard HVAC,Fluorescent,False,0.0,False,None,23901800.0,23901800.0,0.0,0.0,235.01,Pacific Structures,0,None,False,10362643.0,101.9000015,362700.0,47000.0,188300.0,598000.0,5.88,463.6,4.56,12,Poor,Deep Energy Retrofit,487200.0,180600.0,2.7,33.36,Critical,High,41841800.0,411.4,8,High Risk
BLDG_21497,FAIRMOUNT APTS,Residential,Seattle,4C (Marine),1914,110,39528.0,5,Residential,0.94,Composite,Insulated Panels,0.34,High,High Efficiency HVAC,LED,False,0.0,False,Silver,8854500.0,8856300.0,1800.0,0.0002,224.05,Cascade Building Group,0,None,False,725947.0,21.60000038,25400.0,19700.0,66900.0,112000.0,2.83,4.2,0.11,77,Good,Water Efficiency Upgrade,11100.0,5500.0,2.02,4.61,Critical,Low,12216300.0,309.05,2,Low Risk
BLDG_52012,GRIDLINE (704 E UNION ST),Residential,Seattle,4C (Marine),2023,1,31253.0,6,Residential,0.83,Glass-heavy facade,Curtain Wall,0.78,High,Heat Pump,Smart LED,False,0.0,False,Gold,8464300.0,9643400.0,1179100.0,0.1393,308.56,Summit Contractors,74,Material Shortage,True,1069449.0,34.20000076,37400.0,14200.0,34600.0,86200.0,2.76,29.4,0.94,99,Excellent,Water Efficiency Upgrade,9600.0,4000.0,2.4,2.72,Critical,Low,12229400.0,391.3,2,Low Risk
BLDG_26850,EVERGREEN HOTEL BUILDING,Residential,Seattle,4C (Marine),1916,108,24171.0,3,Residential,0.92,Timber,Masonry,0.39,High,High Efficiency HVAC,LED,False,0.0,True,Gold,6278500.0,6315500.0,37000.0,0.0059,261.28,Emerald City Construction,0,None,False,391058.0,16.20000076,13700.0,11100.0,39600.0,64400.0,2.66,2.3,0.09,100,Excellent,Water Efficiency Upgrade,8400.0,3100.0,2.71,2.55,Critical,Low,8247500.0,341.21,2,Low Risk
BLDG_29,WATERTOWN HOTEL,Hospitality,Seattle,4C (Marine),2001,23,88592.0,6,Hospitality,0.89,Steel,Insulated Panels,0.4,High,Heat Pump,Smart LED,True,340.0,False,Platinum,32772500.0,32772500.0,0.0,0.0,369.93,Cascade Building Group,0,None,False,3610078.0,53.29999924,75400.0,46300.0,108200.0,229900.0,2.6,95.6,1.65,96,Excellent,LED Lighting Retrofit,27800.0,13600.0,2.04,8.58,Critical,Low,39669500.0,447.78,0,Low Risk
BLDG_550,PUBLIC STORAGE (STORE 21517),Mixed Use,Seattle,4C (Marine),1986,38,64660.0,3,Mixed Use,0.91,Steel,Window Wall,0.35,High,Heat Pump,Smart LED,False,0.0,False,Platinum,19817700.0,19914800.0,97100.0,0.0049,307.99,Apex Builders,0,None,False,329908.0,5.099999905,11500.0,19200.0,91900.0,122600.0,1.9,6.0,0.09,89,Excellent,Solar Panel Installation,111200.0,6200.0,17.94,25.78,Low,Medium,23592800.0,364.87,1,Low Risk
BLDG_25763,Villa Andora,Residential,Seattle,4C (Marine),1969,55,30420.0,3,Residential,0.91,Glass-heavy facade,Curtain Wall,0.82,Low,District Heating,LED,False,0.0,False,Gold,7940900.0,8553100.0,612200.0,0.0771,281.17,Summit Contractors,65,Labor Shortage,True,931589.0,26.5,32600.0,14300.0,51800.0,98700.0,3.24,5.4,0.18,74,Good,LED Lighting Retrofit,11500.0,5900.0,1.95,10.53,Critical,Low,11514100.0,378.5,4,Medium Risk
BLDG_19572,WALL & CEILING SUPPLY CO,Mixed Use,Seattle,4C (Marine),1981,43,30375.0,1,Mixed Use,0.86,Brick,Masonry,0.16,Medium,Standard HVAC,LED,False,0.0,False,None,8959600.0,9196100.0,236500.0,0.0264,302.75,Apex Builders,75,Permit Delay,True,476416.0,15.69999981,16700.0,8400.0,48300.0,73400.0,2.42,2.8,0.09,56,Fair,LED Lighting Retrofit,11500.0,3000.0,3.83,8.38,Critical,Low,11398100.0,375.25,5,Medium Risk
BLDG_23340,KING ARTHUR'S COURT APARTMENTS,Residential,Seattle,4C (Marine),2000,24,103554.0,6,Residential,0.91,Timber,Window Wall,0.48,High,Heat Pump,LED,False,0.0,False,Gold,26366800.0,26366800.0,0.0,0.0,254.62,Pacific Structures,0,None,False,2249554.0,28.0,78700.0,46000.0,122100.0,246800.0,2.38,13.0,0.18,89,Excellent,Solar Panel Installation,163000.0,10000.0,16.3,19.1,Low,Medium,33770800.0,326.12,1,Low Risk
BLDG_19753,NEW PACIFIC APARTMENTS,Residential,Seattle,4C (Marine),1903,121,26640.0,3,Residential,0.9,Glass-heavy facade,Curtain Wall,0.74,High,Standard HVAC,Smart LED,False,0.0,False,Silver,6568600.0,6954800.0,386200.0,0.0588,261.07,Pacific Structures,77,Permit Delay,True,1339774.0,100.3000031,46900.0,12200.0,47000.0,106100.0,3.98,53.5,2.01,75,Good,Building Automation System,18300.0,9400.0,1.95,11.04,Critical,Medium,10137800.0,380.55,7,High Risk
BLDG_50190,1701 DEXTER,Residential,Seattle,4C (Marine),2016,8,60500.0,6,Residential,0.9,Glass-heavy facade,Curtain Wall,0.67,High,High Efficiency HVAC,Smart LED,True,149.3,False,Gold,16877100.0,16976700.0,99600.0,0.0059,280.61,Emerald City Construction,0,None,False,1904965.0,31.5,44300.0,32000.0,68600.0,144900.0,2.4,46.1,0.76,95,Excellent,Water Efficiency Upgrade,14900.0,9000.0,1.66,2.14,Critical,Low,21323700.0,352.46,1,Low Risk
BLDG_399,WASH MUTUAL TOWER (1201 THIRD AVE),Office,Seattle,4C (Marine),1988,36,1413575.0,55,Office,0.89,Glass-heavy facade,Curtain Wall,0.82,High,High Efficiency HVAC,Smart LED,False,0.0,False,Silver,483827300.0,490310600.0,6483300.0,0.0134,346.86,Summit Contractors,0,None,False,42176492.0,37.40000153,1476200.0,277100.0,1812900.0,3566200.0,2.52,436.4,0.39,88,Excellent,Solar Panel Installation,525000.0,36200.0,14.5,15.8,Low,Medium,597296600.0,422.54,1,Low Risk
BLDG_19874,TRIANON BUILDING,Office,Seattle,4C (Marine),1926,98,57620.0,3,Office,0.92,Glass-heavy facade,Curtain Wall,0.67,Low,Standard HVAC,Fluorescent,False,0.0,False,None,17796800.0,20505500.0,2708700.0,0.1522,355.87,Emerald City Construction,91,Material Shortage,True,2046856.0,41.09999847,71600.0,11800.0,95500.0,178900.0,3.1,11.9,0.24,52,Fair,Insulation Improvement,48300.0,8000.0,6.04,17.29,High,Medium,25872500.0,449.02,7,High Risk
BLDG_229,MARTIN LUTHER KING JR (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT),Educational,Seattle,4C (Marine),2004,20,67371.0,2,Educational,0.85,Steel,Rain Screen,0.54,Medium,Electric Resistance,LED,False,0.0,False,Certified,17793900.0,24868800.0,7074900.0,0.3976,369.13,Apex Builders,163,Design Change,True,2469600.0,35.0,86400.0,12500.0,75900.0,174800.0,2.59,71.1,1.06,70,Good,Solar Panel Installation,114800.0,6500.0,17.66,25.22,Low,Medium,30112800.0,446.97,5,Medium Risk
BLDG_23567,HAMRICK APTS,Residential,Seattle,4C (Marine),1947,77,22604.0,3,Residential,0.79,Brick,Masonry,0.17,High,Heat Pump,Smart LED,True,195.9,False,Platinum,5842700.0,5890000.0,47300.0,0.0081,260.57,Emerald City Construction,0,None,False,1020581.0,45.20000076,14300.0,9100.0,37500.0,60900.0,2.69,44.5,1.97,89,Excellent,LED Lighting Retrofit,9300.0,2600.0,3.58,9.62,Critical,Low,7717000.0,341.4,3,Low Risk
BLDG_22609,OFFICE BLDG,Office,Seattle,4C (Marine),1994,30,30172.0,4,Office,0.89,Steel,Window Wall,0.49,High,Heat Pump,LED,False,0.0,False,Gold,8977700.0,8977700.0,0.0,0.0,297.55,Apex Builders,0,None,False,499171.0,16.5,17500.0,6400.0,38700.0,62600.0,2.07,2.9,0.1,91,Excellent,Water Efficiency Upgrade,9400.0,1800.0,5.22,2.58,High,Low,10855700.0,359.79,1,Low Risk
BLDG_23723,DOMAINE,Residential,Seattle,4C (Marine),2006,18,67796.0,6,Residential,0.9,Timber,Rain Screen,0.49,Low,Standard HVAC,Fluorescent,False,0.0,False,None,15607300.0,17008800.0,1401500.0,0.0898,250.88,Emerald City Construction,76,Labor Shortage,True,4066924.0,50.5,142300.0,36100.0,82700.0,261100.0,3.85,80.5,1.44,22,Poor,Deep Energy Retrofit,344700.0,72200.0,4.77,44.95,Critical,High,24841800.0,366.42,10,Critical Risk
BLDG_678,COLMAN BUILDING,Office,Seattle,4C (Marine),1900,124,166975.0,6,Office,0.97,Glass-heavy facade,Curtain Wall,0.84,High,District Heating,Smart LED,False,0.0,False,Silver,55716300.0,70347400.0,14631100.0,0.2626,421.3,Pacific Structures,110,Design Change,True,7958602.0,47.70000076,278600.0,39800.0,285800.0,604200.0,3.62,370.6,2.22,87,Excellent,Solar Panel Installation,247600.0,16100.0,15.38,19.05,Low,Medium,88473400.0,529.86,7,High Risk
BLDG_331,TOWER BLDG,Office,Seattle,4C (Marine),1930,94,204790.0,17,Office,0.91,Concrete,Rain Screen,0.31,High,Heat Pump,Smart LED,True,284.0,False,Silver,62623100.0,80840200.0,18217100.0,0.2909,394.75,Summit Contractors,180,Supply Chain Issue,True,7179538.0,44.70000076,208700.0,48400.0,308200.0,565300.0,2.76,108.7,0.62,83,Excellent,Building Automation System,80700.0,46700.0,1.73,11.9,Critical,Medium,97799200.0,477.56,4,Medium Risk
BLDG_63,SHERATON GRAND SEATTLE - (Parent Building),Hospitality,Seattle,4C (Marine),1982,42,1083197.0,34,Hospitality,0.86,Steel,Masonry,0.54,High,Standard HVAC,LED,False,0.0,False,None,356649000.0,385537600.0,28888600.0,0.081,355.93,Emerald City Construction,61,Supply Chain Issue,True,74641408.0,75.09999847,2612400.0,536200.0,1717000.0,4865600.0,4.49,2287.8,2.47,75,Good,Solar Panel Installation,525000.0,36200.0,14.5,22.57,Low,Medium,531505600.0,490.68,5,Medium Risk
BLDG_24112,FLEET PRIDE,Mixed Use,Seattle,4C (Marine),1966,58,24354.0,1,Mixed Use,0.8,Brick,Masonry,0.17,Medium,Mixed System,LED,False,0.0,False,None,6914100.0,7880700.0,966600.0,0.1398,323.59,Apex Builders,88,Material Shortage,True,269648.0,11.10000038,9400.0,6700.0,37700.0,53800.0,2.21,3.6,0.15,57,Fair,Building Automation System,17500.0,3300.0,5.3,13.92,High,Medium,9494700.0,389.86,4,Medium Risk
BLDG_19976,CAL-MORE CIRCLE APTS,Residential,Seattle,4C (Marine),1968,56,51490.0,8,Residential,0.91,Timber,Window Wall,0.4,High,Heat Pump,Smart LED,False,0.0,False,Platinum,12662500.0,16703100.0,4040600.0,0.3191,324.4,Summit Contractors,128,Design Change,True,1728945.0,33.59999847,60500.0,24400.0,84900.0,169800.0,3.3,37.3,0.72,96,Excellent,Water Efficiency Upgrade,13300.0,6800.0,1.96,4.28,Critical,Low,21797100.0,423.33,5,Medium Risk
BLDG_24803,JG CROWN HILL LLC,Retail,Seattle,4C (Marine),1993,31,25384.0,1,Retail,0.96,Composite,Masonry,0.5,Low,Standard HVAC,Fluorescent,False,0.0,False,None,4754000.0,4952200.0,198200.0,0.0417,195.09,Pacific Structures,18,Weather,True,2528556.0,107.6999969,88500.0,4600.0,39200.0,132300.0,5.21,48.2,1.9,2,Poor,HVAC Upgrade,51800.0,19500.0,2.66,21.04,Critical,Medium,8921200.0,351.45,6,Medium Risk
BLDG_25850,BELGROVE COURT,Residential,Seattle,4C (Marine),1992,32,63102.0,6,Residential,0.85,Composite,Window Wall,0.39,High,District Heating,LED,False,0.0,False,Gold,14078900.0,14221100.0,142200.0,0.0101,225.37,Pacific Structures,18,Weather,True,1348179.0,31.5,47200.0,30700.0,83300.0,161200.0,2.55,7.8,0.19,98,Excellent,LED Lighting Retrofit,20700.0,8500.0,2.44,8.04,Critical,Low,19057100.0,302.0,1,Low Risk
BLDG_20741,WEST TOWN VIEW APTS,Residential,Seattle,4C (Marine),1977,47,40758.0,6,Residential,0.88,Concrete,Rain Screen,0.43,High,Standard HVAC,Smart LED,False,0.0,False,Certified,8790600.0,8813500.0,22900.0,0.0026,216.24,Cascade Building Group,0,None,False,1470425.0,36.09999847,51500.0,18700.0,68000.0,138200.0,3.39,8.5,0.21,75,Good,Water Efficiency Upgrade,11300.0,5200.0,2.17,2.33,Critical,Low,12959500.0,317.96,5,Medium Risk
BLDG_23228,SAFEWAY STORE # 1143,Retail,Seattle,4C (Marine),1994,30,45522.0,1,Retail,0.91,Steel,Curtain Wall,0.49,Medium,Electric Resistance,LED,False,0.0,False,Certified,8343500.0,8458600.0,115100.0,0.0138,185.81,Summit Contractors,0,None,False,13391220.0,294.2000122,468700.0,8200.0,65900.0,542800.0,11.92,407.3,8.95,65,Good,Building Automation System,24900.0,73600.0,0.34,14.66,Critical,Medium,24742600.0,543.53,7,High Risk
BLDG_21921,SAFEWAY STORE # 488,Retail,Seattle,4C (Marine),1975,49,33005.0,1,Retail,0.88,Brick,Masonry,0.17,High,Heat Pump,LED,False,0.0,False,Gold,6108100.0,6108100.0,0.0,0.0,185.07,Emerald City Construction,0,None,False,5431374.0,155.3000031,190100.0,5500.0,50900.0,246500.0,7.47,117.8,3.57,85,Excellent,Solar Panel Installation,69000.0,3200.0,21.56,27.47,Low,Medium,13503100.0,409.12,3,Low Risk
BLDG_858,JAMES TOWER (PROVIDENCE MEDICAL CENTER),Healthcare,Seattle,4C (Marine),1910,114,320946.0,6,Healthcare,0.94,Concrete,Insulated Panels,0.35,Medium,High Efficiency HVAC,LED,False,0.0,False,None,145510300.0,147431000.0,1920700.0,0.0132,459.36,Pacific Structures,0,None,False,26399488.0,81.80000305,924000.0,235300.0,550100.0,1709400.0,5.33,165.7,0.52,57,Fair,Solar Panel Installation,453000.0,31000.0,14.61,21.99,Low,Medium,198713000.0,619.15,4,Medium Risk
BLDG_21941,FIRST AND BROAD CONDO (ELLINGTON),Residential,Seattle,4C (Marine),2000,24,264239.0,12,Residential,0.92,Concrete,Masonry,0.55,Medium,Heat Pump,LED,False,0.0,False,None,60577200.0,61110300.0,533100.0,0.0088,231.27,Emerald City Construction,0,None,False,11530373.0,56.40000153,403600.0,139400.0,330000.0,873000.0,3.3,315.7,1.34,49,Fair,Solar Panel Installation,377400.0,25500.0,14.8,24.65,Low,Medium,87300300.0,330.38,7,High Risk
BLDG_21125,THE PECK BUILDING,Office,Seattle,4C (Marine),2001,23,33740.0,5,Office,0.84,Steel,Masonry,0.51,High,Mixed System,Smart LED,False,0.0,False,Certified,9278100.0,9367200.0,89100.0,0.0096,277.63,Emerald City Construction,0,None,False,1453302.0,52.40000153,50900.0,6600.0,42200.0,99700.0,2.95,33.9,1.22,72,Good,Solar Panel Installation,70000.0,3300.0,21.21,24.07,Low,Medium,12358200.0,366.28,3,Low Risk
BLDG_26862,THE PACIFIC,Residential,Seattle,4C (Marine),1989,35,23341.0,4,Residential,0.91,Concrete,Window Wall,0.43,High,District Heating,LED,True,128.6,False,Gold,5693600.0,5744800.0,51200.0,0.009,246.12,Apex Builders,0,None,False,609922.0,26.10000038,8500.0,11400.0,31700.0,51600.0,2.21,10.9,0.53,90,Excellent,Solar Panel Installation,65000.0,2900.0,22.41,16.63,Low,Medium,7292800.0,312.45,0,Low Risk
BLDG_19477,GLACIER MARINE SERVICES,Mixed Use,Seattle,4C (Marine),1976,48,44100.0,1,Mixed Use,0.94,Composite,Curtain Wall,0.38,Low,Standard HVAC,Fluorescent,False,0.0,False,None,13194500.0,14341100.0,1146600.0,0.0869,325.2,Emerald City Construction,64,Contractor Delay,True,765668.0,19.10000038,26800.0,15000.0,74100.0,115900.0,2.63,4.4,0.1,16,Poor,HVAC Upgrade,78900.0,5900.0,13.37,25.43,Low,Medium,17818100.0,404.04,8,High Risk
