cost_id,building_id,estimated_construction_cost,actual_construction_cost,cost_overrun_amount,cost_overrun_percentage,contractor_name,project_start_date,planned_duration_days,delay_days,delay_reason,planned_completion_date,actual_duration_days,actual_completion_date,material_cost,labor_cost,equipment_cost,design_consulting_cost,permit_cost
COST_0033,BLDG_19874,17796800.0,20505500.0,2708700.0,0.1522,Emerald City Construction,2013-07-06,240,91,Material Shortage,2014-03-03,331,2014-06-02,8990100.0,7120100.0,1813400.0,1260500.0,1321400.0
COST_0034,BLDG_229,17793900.0,24868800.0,7074900.0,0.3976,Apex Builders,2013-09-20,225,163,Design Change,2014-05-03,388,2014-10-13,10953400.0,9119800.0,2846800.0,1246500.0,702300.0
COST_0035,BLDG_23567,5842700.0,5890000.0,47300.0,0.0081,Emerald City Construction,2013-04-08,198,0,None,2013-10-23,198,2013-10-23,2541300.0,2097700.0,619400.0,323200.0,308400.0
COST_0036,BLDG_22609,8977700.0,8977700.0,0.0,0.0,Apex Builders,2013-04-03,180,0,None,2013-09-30,180,2013-09-30,4143900.0,3023400.0,967500.0,584100.0,258800.0
COST_0037,BLDG_23723,15607300.0,17008800.0,1401500.0,0.0898,Emerald City Construction,2013-07-13,219,76,Labor Shortage,2014-02-17,295,2014-05-04,7718400.0,5858000.0,1513000.0,868100.0,1051300.0
COST_0038,BLDG_678,55716300.0,70347400.0,14631100.0,0.2626,Pacific Structures,2013-05-09,292,110,Design Change,2014-02-25,402,2014-06-15,30199900.0,26539100.0,6363600.0,4914500.0,2330300.0
COST_0039,BLDG_331,62623100.0,80840200.0,18217100.0,0.2909,Summit Contractors,2013-05-09,361,180,Supply Chain Issue,2014-05-05,541,2014-11-01,36960500.0,29767700.0,9401900.0,5493700.0,-783600.0
COST_0040,BLDG_63,356649000.0,385537600.0,28888600.0,0.081,Emerald City Construction,2013-06-22,1036,61,Supply Chain Issue,2016-04-23,1097,2016-06-23,173460700.0,126242000.0,38184800.0,21002800.0,26647300.0
COST_0041,BLDG_24112,6914100.0,7880700.0,966600.0,0.1398,Apex Builders,2013-11-06,196,88,Material Shortage,2014-05-21,284,2014-08-17,3353700.0,2779700.0,805000.0,535200.0,407100.0
COST_0042,BLDG_19976,12662500.0,16703100.0,4040600.0,0.3191,Summit Contractors,2013-07-12,236,128,Design Change,2014-03-05,364,2014-07-11,7971100.0,6278000.0,1410300.0,1068800.0,-25100.0
COST_0043,BLDG_24803,4754000.0,4952200.0,198200.0,0.0417,Pacific Structures,2013-11-04,181,18,Weather,2014-05-04,199,2014-05-22,2328000.0,1594900.0,474300.0,289700.0,265300.0
COST_0044,BLDG_25850,14078900.0,14221100.0,142200.0,0.0101,Pacific Structures,2013-04-25,212,18,Weather,2013-11-23,230,2013-12-11,6033500.0,4587100.0,1642300.0,766800.0,1191400.0
COST_0045,BLDG_20741,8790600.0,8813500.0,22900.0,0.0026,Cascade Building Group,2013-12-23,233,0,None,2014-08-13,233,2014-08-13,4194100.0,3199300.0,1022400.0,476000.0,-78300.0
COST_0046,BLDG_23228,8343500.0,8458600.0,115100.0,0.0138,Summit Contractors,2013-11-26,225,0,None,2014-07-09,225,2014-07-09,4017800.0,2998900.0,923700.0,523400.0,-5200.0
COST_0047,BLDG_21921,6108100.0,6108100.0,0.0,0.0,Emerald City Construction,2013-06-17,192,0,None,2013-12-26,192,2013-12-26,2580900.0,1971500.0,622000.0,356200.0,577500.0
COST_0048,BLDG_858,145510300.0,147431000.0,1920700.0,0.0132,Pacific Structures,2013-07-06,423,0,None,2014-09-02,423,2014-09-02,63703300.0,55988500.0,17283800.0,9126600.0,1328800.0
COST_0049,BLDG_21941,60577200.0,61110300.0,533100.0,0.0088,Emerald City Construction,2013-12-20,413,0,None,2015-02-06,413,2015-02-06,28241800.0,21682300.0,7020000.0,3459200.0,707000.0
COST_0050,BLDG_21125,9278100.0,9367200.0,89100.0,0.0096,Emerald City Construction,2013-08-07,185,0,None,2014-02-08,185,2014-02-08,4459500.0,3274000.0,1066500.0,511500.0,55700.0
COST_0051,BLDG_26862,5693600.0,5744800.0,51200.0,0.009,Apex Builders,2013-08-09,225,0,None,2014-03-22,225,2014-03-22,2696500.0,1992700.0,662200.0,383400.0,10000.0
COST_0052,BLDG_19477,13194500.0,14341100.0,1146600.0,0.0869,Emerald City Construction,2013-01-03,212,64,Contractor Delay,2013-08-03,276,2013-10-06,6265800.0,5192100.0,1407300.0,980900.0,495000.0
COST_0053,BLDG_467,30805500.0,31258300.0,452800.0,0.0147,Cascade Building Group,2013-02-19,293,0,None,2013-12-09,293,2013-12-09,13191200.0,10862300.0,3157700.0,2003800.0,2043300.0
COST_0054,BLDG_50490,13063400.0,13562400.0,499000.0,0.0382,Summit Contractors,2017-11-11,229,49,Contractor Delay,2018-06-28,278,2018-08-16,6081000.0,4876300.0,1315000.0,722000.0,568100.0
COST_0055,BLDG_22866,11460900.0,11548000.0,87100.0,0.0076,Summit Contractors,2013-02-27,240,0,None,2013-10-25,240,2013-10-25,4913900.0,4033700.0,1265700.0,598700.0,736000.0
COST_0056,BLDG_27343,10944500.0,12043300.0,1098800.0,0.1004,Apex Builders,2013-06-25,231,72,Labor Shortage,2014-02-11,303,2014-04-24,5235400.0,4295200.0,1248600.0,732000.0,532100.0
COST_0057,BLDG_21898,8971000.0,12163800.0,3192800.0,0.3559,Cascade Building Group,2013-02-04,180,144,Design Change,2013-08-03,324,2013-12-25,5576000.0,4480100.0,1007000.0,742100.0,358600.0
COST_0058,BLDG_23306,11495000.0,11495000.0,0.0,0.0,Cascade Building Group,2013-05-21,201,0,None,2013-12-08,201,2013-12-08,5169300.0,4242000.0,982400.0,721700.0,379600.0
COST_0059,BLDG_19799,4903200.0,4971400.0,68200.0,0.0139,Summit Contractors,2013-01-22,194,0,None,2013-08-04,194,2013-08-04,2200400.0,1844100.0,436000.0,338700.0,152200.0
COST_0060,BLDG_21951,62435100.0,62435100.0,0.0,0.0,Cascade Building Group,2013-05-13,398,0,None,2014-06-15,398,2014-06-15,29706500.0,20739600.0,6669500.0,3929400.0,1390100.0
COST_0061,BLDG_23102,28361700.0,38143700.0,9782000.0,0.3449,Pacific Structures,2013-06-16,309,145,Design Change,2014-04-21,454,2014-09-13,16462000.0,12345900.0,3219000.0,2606100.0,3510700.0
COST_0062,BLDG_23466,31243500.0,34720900.0,3477400.0,0.1113,Emerald City Construction,2013-04-27,278,73,Labor Shortage,2014-01-30,351,2014-04-13,15598300.0,12852600.0,3528800.0,1817800.0,923400.0
COST_0063,BLDG_25526,12495400.0,12495400.0,0.0,0.0,Emerald City Construction,2013-06-09,187,0,None,2013-12-13,187,2013-12-13,5678000.0,4030200.0,1419900.0,802000.0,565300.0
COST_0064,BLDG_50489,6546400.0,6546400.0,0.0,0.0,Summit Contractors,2017-01-22,185,0,None,2017-07-26,185,2017-07-26,2875900.0,2178700.0,771800.0,448700.0,271300.0
COST_0065,BLDG_26846,32572400.0,34722200.0,2149800.0,0.066,Summit Contractors,2013-01-23,272,53,Labor Shortage,2013-10-22,325,2013-12-14,16052700.0,12207400.0,3372500.0,2057500.0,1032100.0
COST_0066,BLDG_376,87875300.0,87875300.0,0.0,0.0,Cascade Building Group,2013-04-06,431,0,None,2014-06-11,431,2014-06-11,41480400.0,32630400.0,8905000.0,6094200.0,-1234700.0
COST_0067,BLDG_24376,14789000.0,14789000.0,0.0,0.0,Apex Builders,2013-07-27,198,0,None,2014-02-10,198,2014-02-10,6691900.0,5528200.0,1675000.0,902900.0,-9000.0
COST_0068,BLDG_50016,111766600.0,171014100.0,59247500.0,0.5301,Summit Contractors,2013-05-09,530,228,Design Change,2014-10-21,758,2015-06-06,79843100.0,61168800.0,20082100.0,11775900.0,-1855800.0
COST_0069,BLDG_457,28715100.0,29186000.0,470900.0,0.0164,Summit Contractors,2013-08-19,257,42,Permit Delay,2014-05-03,299,2014-06-14,12364900.0,11032500.0,2790000.0,1896200.0,1102400.0
COST_0070,BLDG_25849,5324800.0,5380200.0,55400.0,0.0104,Summit Contractors,2013-01-27,198,0,None,2013-08-13,198,2013-08-13,2309300.0,1957300.0,506400.0,318300.0,288900.0
COST_0071,BLDG_20503,19387800.0,19581700.0,193900.0,0.01,Cascade Building Group,2013-10-08,186,23,Permit Delay,2014-04-12,209,2014-05-05,8767100.0,6886200.0,1919700.0,992500.0,1016200.0
COST_0072,BLDG_21917,19600800.0,19883100.0,282300.0,0.0144,Pacific Structures,2013-04-23,231,0,None,2013-12-10,231,2013-12-10,9449700.0,6522900.0,1792500.0,1255600.0,862400.0
COST_0073,BLDG_27590,4794400.0,5225400.0,431000.0,0.0899,Summit Contractors,2013-04-23,180,48,Material Shortage,2013-10-20,228,2013-12-07,2361300.0,1806600.0,597700.0,287800.0,172000.0
COST_0074,BLDG_23172,15409700.0,17653400.0,2243700.0,0.1456,Pacific Structures,2013-01-01,206,114,Supply Chain Issue,2013-07-26,320,2013-11-17,7872300.0,6520100.0,1637000.0,984600.0,639400.0
COST_0075,BLDG_23574,12218400.0,13264300.0,1045900.0,0.0856,Cascade Building Group,2013-02-21,251,45,Material Shortage,2013-10-30,296,2013-12-14,6048600.0,4470300.0,1299600.0,668500.0,777300.0
COST_0076,BLDG_24448,9983000.0,9983000.0,0.0,0.0,Apex Builders,2013-11-14,180,0,None,2014-05-13,180,2014-05-13,4267400.0,3540900.0,926400.0,610500.0,637800.0
COST_0077,BLDG_26354,4959900.0,5076000.0,116100.0,0.0234,Emerald City Construction,2013-10-22,217,69,Permit Delay,2014-05-27,286,2014-08-04,2331000.0,1923800.0,430200.0,283200.0,107800.0
COST_0078,BLDG_19673,24265200.0,25126600.0,861400.0,0.0355,Emerald City Construction,2013-02-01,235,67,Permit Delay,2013-09-24,302,2013-11-30,10694900.0,8303500.0,2619800.0,1750000.0,1758400.0
COST_0079,BLDG_26100,16784000.0,18908900.0,2124900.0,0.1266,Emerald City Construction,2013-09-13,236,98,Labor Shortage,2014-05-07,334,2014-08-13,8596100.0,6166000.0,1957200.0,1228700.0,960900.0
COST_0080,BLDG_20493,16705800.0,17048300.0,342500.0,0.0205,Emerald City Construction,2013-07-08,206,14,Weather,2014-01-30,220,2014-02-13,7891000.0,6269300.0,1565000.0,974300.0,348700.0
COST_0081,BLDG_25062,37821600.0,38385100.0,563500.0,0.0149,Cascade Building Group,2013-06-09,280,0,None,2014-03-16,280,2014-03-16,17069500.0,12340600.0,3119000.0,2145300.0,3710700.0
COST_0082,BLDG_21555,6564700.0,6606100.0,41400.0,0.0063,Emerald City Construction,2013-08-20,198,0,None,2014-03-06,198,2014-03-06,3135600.0,2368900.0,776000.0,424800.0,-99200.0
COST_0083,BLDG_23571,8964200.0,10275700.0,1311500.0,0.1463,Cascade Building Group,2013-05-02,221,87,Material Shortage,2013-12-09,308,2014-03-06,4409500.0,3495200.0,968200.0,566000.0,836800.0
COST_0084,BLDG_27868,6844600.0,6932900.0,88300.0,0.0129,Apex Builders,2013-01-06,180,0,None,2013-07-05,180,2013-07-05,2982900.0,2519600.0,704000.0,408800.0,317600.0
COST_0085,BLDG_26319,13670500.0,13785300.0,114800.0,0.0084,Summit Contractors,2013-03-27,241,0,None,2013-11-23,241,2013-11-23,6217400.0,4510800.0,1182100.0,733500.0,1141500.0
COST_0086,BLDG_23590,8700800.0,9902400.0,1201600.0,0.1381,Summit Contractors,2013-04-17,221,105,Labor Shortage,2013-11-24,326,2014-03-09,4712500.0,3364900.0,891700.0,545400.0,387900.0
COST_0087,BLDG_491,23686600.0,23999300.0,312700.0,0.0132,Summit Contractors,2013-06-08,228,0,None,2014-01-22,228,2014-01-22,10642300.0,7704300.0,2337800.0,1247200.0,2067700.0
COST_0088,BLDG_20163,123639300.0,139254900.0,15615600.0,0.1263,Cascade Building Group,2013-10-20,589,100,Labor Shortage,2015-06-01,689,2015-09-09,66227400.0,46525800.0,14272200.0,8152400.0,4077100.0
COST_0089,BLDG_19862,17758400.0,20354700.0,2596300.0,0.1462,Cascade Building Group,2013-10-15,224,69,Design Change,2014-05-27,293,2014-08-04,9395900.0,7103700.0,2323700.0,1395000.0,136400.0
COST_0090,BLDG_26150,11532300.0,11989000.0,456700.0,0.0396,Cascade Building Group,2013-08-11,202,46,Labor Shortage,2014-03-01,248,2014-04-16,5598300.0,3964200.0,1098400.0,623600.0,704500.0
COST_0091,BLDG_26695,8250800.0,8399300.0,148500.0,0.018,Apex Builders,2013-10-03,196,19,Contractor Delay,2014-04-17,215,2014-05-06,4000400.0,2990000.0,964800.0,493400.0,-49300.0
COST_0092,BLDG_492,26362900.0,29204800.0,2841900.0,0.1078,Pacific Structures,2013-11-14,221,82,Labor Shortage,2014-06-23,303,2014-09-13,13268900.0,9552600.0,2871900.0,1634500.0,1876900.0
COST_0093,BLDG_27232,5557200.0,5826700.0,269500.0,0.0485,Cascade Building Group,2013-07-19,181,16,Weather,2014-01-16,197,2014-02-01,2671500.0,2125100.0,567000.0,333600.0,129500.0
COST_0094,BLDG_760,38877900.0,41502200.0,2624300.0,0.0675,Cascade Building Group,2013-06-20,285,41,Material Shortage,2014-04-01,326,2014-05-12,18872700.0,15575800.0,3978300.0,2715500.0,359900.0
COST_0095,BLDG_49988,25719100.0,29929300.0,4210200.0,0.1637,Summit Contractors,2013-06-07,283,137,Labor Shortage,2014-03-17,420,2014-08-01,13979700.0,10270400.0,3455300.0,1756900.0,467000.0
COST_0096,BLDG_243,39197900.0,39197900.0,0.0,0.0,Emerald City Construction,2013-08-14,306,0,None,2014-06-16,306,2014-06-16,17106100.0,13785600.0,3529400.0,2469800.0,2307000.0
COST_0097,BLDG_24858,12184000.0,12259500.0,75500.0,0.0062,Emerald City Construction,2013-06-04,190,0,None,2013-12-11,190,2013-12-11,5728700.0,4282400.0,1401200.0,851300.0,-4100.0
COST_0098,BLDG_22517,8801700.0,8900300.0,98600.0,0.0112,Apex Builders,2013-09-07,217,0,None,2014-04-12,217,2014-04-12,4119200.0,3267500.0,743700.0,554700.0,215200.0
COST_0099,BLDG_850,14096300.0,14268300.0,172000.0,0.0122,Emerald City Construction,2013-09-15,233,27,Contractor Delay,2014-05-06,260,2014-06-02,6508100.0,5417000.0,1686700.0,809700.0,-153200.0
COST_0100,BLDG_27561,7639800.0,7716200.0,76400.0,0.01,Pacific Structures,2013-03-05,185,20,Permit Delay,2013-09-06,205,2013-09-26,3258800.0,2809800.0,772600.0,447200.0,427800.0
COST_0101,BLDG_46,202433100.0,202433100.0,0.0,0.0,Summit Contractors,2013-01-27,775,0,None,2015-03-13,775,2015-03-13,94429500.0,67384300.0,24283100.0,12939200.0,3397000.0
COST_0102,BLDG_35391,6059100.0,6123300.0,64200.0,0.0106,Apex Builders,2013-12-24,216,0,None,2014-07-28,216,2014-07-28,2620400.0,2215200.0,638800.0,391200.0,257700.0
COST_0103,BLDG_50001,28087400.0,28272800.0,185400.0,0.0066,Emerald City Construction,2013-01-01,285,0,None,2013-10-13,285,2013-10-13,13506400.0,10091900.0,2394800.0,1621800.0,657900.0
COST_0104,BLDG_21486,15081100.0,15141400.0,60300.0,0.004,Emerald City Construction,2013-07-14,236,0,None,2014-03-07,236,2014-03-07,6433400.0,5036100.0,1248200.0,976500.0,1447200.0
COST_0105,BLDG_26351,6079300.0,6382700.0,303400.0,0.0499,Summit Contractors,2013-11-14,180,66,Permit Delay,2014-05-13,246,2014-07-18,2956600.0,2134700.0,560000.0,389400.0,342000.0
COST_0106,BLDG_49939,7683200.0,8581400.0,898200.0,0.1169,Apex Builders,2013-08-19,198,80,Material Shortage,2014-03-05,278,2014-05-24,3789800.0,3082200.0,831100.0,597300.0,281000.0
COST_0107,BLDG_23308,5984500.0,6314800.0,330300.0,0.0552,Summit Contractors,2013-02-23,181,27,Contractor Delay,2013-08-23,208,2013-09-19,2931000.0,2326800.0,693900.0,430400.0,-67300.0
COST_0108,BLDG_50178,10816900.0,10816900.0,0.0,0.0,Apex Builders,2014-10-05,238,0,None,2015-05-31,238,2015-05-31,4879900.0,3956200.0,865700.0,719100.0,396000.0
COST_0109,BLDG_409,29577700.0,29929700.0,352000.0,0.0119,Emerald City Construction,2013-01-02,263,0,None,2013-09-22,263,2013-09-22,13700900.0,10666500.0,2702500.0,1517000.0,1342800.0
COST_0110,BLDG_50955,32300100.0,32300100.0,0.0,0.0,Summit Contractors,2020-03-22,256,0,None,2020-12-03,256,2020-12-03,13712200.0,12153000.0,3343200.0,1860800.0,1230900.0
COST_0111,BLDG_50170,21588900.0,23072100.0,1483200.0,0.0687,Summit Contractors,2014-01-15,244,62,Permit Delay,2014-09-16,306,2014-11-17,11028200.0,8395100.0,2120700.0,1418100.0,110000.0
COST_0112,BLDG_23404,8677300.0,8677300.0,0.0,0.0,Pacific Structures,2013-08-18,224,0,None,2014-03-30,224,2014-03-30,3646500.0,3058900.0,818100.0,524400.0,629400.0
COST_0113,BLDG_23890,20930900.0,21056500.0,125600.0,0.006,Summit Contractors,2013-05-08,234,0,None,2013-12-28,234,2013-12-28,10032800.0,7769300.0,1937800.0,1374400.0,-57800.0
COST_0114,BLDG_559,57879000.0,58521500.0,642500.0,0.0111,Apex Builders,2013-05-14,346,0,None,2014-04-25,346,2014-04-25,26574300.0,19746900.0,6913000.0,3990100.0,1297200.0
COST_0115,BLDG_19930,7657700.0,7657700.0,0.0,0.0,Pacific Structures,2013-08-22,196,0,None,2014-03-06,196,2014-03-06,3334900.0,2571500.0,632800.0,503400.0,615100.0
COST_0116,BLDG_532,17050200.0,17074100.0,23900.0,0.0014,Summit Contractors,2013-07-08,242,0,None,2014-03-07,242,2014-03-07,7824400.0,6458900.0,1985700.0,928900.0,-123800.0
COST_0117,BLDG_383,100091200.0,117226800.0,17135600.0,0.1712,Summit Contractors,2013-03-13,411,76,Design Change,2014-04-28,487,2014-07-13,53968200.0,44193200.0,10893800.0,6999900.0,1171700.0
COST_0118,BLDG_752,49219500.0,49219500.0,0.0,0.0,Pacific Structures,2013-12-05,341,0,None,2014-11-11,341,2014-11-11,22829000.0,18350600.0,4423000.0,2848400.0,768500.0
COST_0119,BLDG_22753,12258000.0,12310700.0,52700.0,0.0043,Emerald City Construction,2013-10-07,246,0,None,2014-06-10,246,2014-06-10,5182600.0,4097800.0,1419800.0,804200.0,806300.0
COST_0120,BLDG_529,26590500.0,26590500.0,0.0,0.0,Summit Contractors,2013-09-14,242,0,None,2014-05-14,242,2014-05-14,12736000.0,9446600.0,2432600.0,1805600.0,169700.0
COST_0121,BLDG_19854,14225900.0,14225900.0,0.0,0.0,Cascade Building Group,2013-06-10,214,0,None,2014-01-10,214,2014-01-10,6502300.0,5009000.0,1700000.0,792900.0,221700.0
COST_0122,BLDG_25110,6882600.0,7466200.0,583600.0,0.0848,Emerald City Construction,2013-01-11,190,61,Material Shortage,2013-07-20,251,2013-09-19,3304900.0,2480200.0,761000.0,446300.0,473800.0
COST_0123,BLDG_22830,6606700.0,6606700.0,0.0,0.0,Summit Contractors,2013-08-06,227,0,None,2014-03-21,227,2014-03-21,3001000.0,2291600.0,654400.0,427000.0,232700.0
COST_0124,BLDG_19885,42774500.0,52424400.0,9649900.0,0.2256,Emerald City Construction,2013-01-04,335,134,Material Shortage,2013-12-05,469,2014-04-18,22579500.0,18238900.0,6241600.0,2673600.0,2690800.0
COST_0125,BLDG_25599,7592500.0,7622100.0,29600.0,0.0039,Apex Builders,2013-06-15,225,0,None,2014-01-26,225,2014-01-26,3314400.0,2549100.0,678900.0,527900.0,551800.0
COST_0126,BLDG_547,18710900.0,18935400.0,224500.0,0.012,Emerald City Construction,2013-10-17,256,0,None,2014-06-30,256,2014-06-30,8050300.0,7144200.0,2203300.0,1249700.0,287900.0
COST_0127,BLDG_27008,17459900.0,17459900.0,0.0,0.0,Pacific Structures,2013-10-05,220,0,None,2014-05-13,220,2014-05-13,8254200.0,6103300.0,1809900.0,1062500.0,230000.0
COST_0128,BLDG_21319,10887700.0,10887700.0,0.0,0.0,Summit Contractors,2013-03-07,182,0,None,2013-09-05,182,2013-09-05,4737200.0,3827000.0,1199800.0,713900.0,409800.0
COST_0129,BLDG_19448,5323600.0,5408800.0,85200.0,0.016,Emerald City Construction,2013-08-19,196,32,Weather,2014-03-03,228,2014-04-04,2511800.0,1925100.0,558600.0,360900.0,52400.0
COST_0130,BLDG_19830,16875400.0,16971600.0,96200.0,0.0057,Cascade Building Group,2013-10-19,232,0,None,2014-06-08,232,2014-06-08,7407300.0,6334100.0,1777700.0,1016200.0,436300.0
COST_0131,BLDG_26391,6462200.0,6462200.0,0.0,0.0,Apex Builders,2013-11-03,191,0,None,2014-05-13,191,2014-05-13,2770700.0,2274700.0,557000.0,380000.0,479800.0
COST_0132,BLDG_24030,10941900.0,11008600.0,66700.0,0.0061,Apex Builders,2013-11-06,213,0,None,2014-06-07,213,2014-06-07,4695000.0,3880100.0,947500.0,734900.0,751100.0
